Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2354777,46722662,n/a,66.09,0.9582653706486856,357692,501686,n/a,100,1.17,15.19,108748,n/a,100,19.841650398317974,9.73,1.98,35460,n/a,n/a,38.51858125402108,0.0,,161554,n/a,46666,n/a,0,1.0,n/a,565488,n/a,161723,0.0,79515,n/a,24.01,n/a,1605373,174889,763582,195924,416989,370240,1853091,252390,21.31,219161,4.62,47.56,1.51,23.06,6.86,15.72,6.87,13.65,3.38,7.43,27479,229219,8.32,0,78.69
Baseline for All Items,2131710,46239360,n/a,71.11,0.9988535217735995,357692,487051,n/a,n/a,1.21,16.78,106548,n/a,n/a,21.69120565180067,10.32,2.19,34588,n/a,100,41.24809096762693,0.0,,152950,n/a,46666,100,0,1.0932157968895313,n/a,565488,n/a,159455,0.0,78750,n/a,26.53,n/a,1500235,171889,713340,192965,413842,358579,1644659,238614,22.85,189702,5.0,47.55,1.62,23.9,7.17,15.91,7.48,12.64,3.69,8.06,25889,220086,9.05,0,77.15
USA,630889,18984425,1,70.58,1.3533425642228665,150459,183545,72.67,26.79187880635831,1.96,23.85,22199,62.89,40.632156190073246,30.091545422411865,14.3,3.38,12305,71.83,29.595442156766165,45.13907698818651,0.0,Country/Region,55023,458473,21341,41.05685070035571,0,1.5165848010789869,396791,152787,n/a,50380,0.0,60232,453168,24.22,n/a,466051,65894,283209,94018,211291,102004,447344,53858,29.09,26980,3.52,60.77,1.95,21.89,8.72,11.56,7.99,5.79,9.55,10.44,12364,90227,14.9,0,70.91
UNITED KINGDOM,179569,5322074,2,71.44,1.3815808118327775,66818,51455,64.88,7.625732712694239,1.97,37.21,7334,51.19,11.390776493000335,29.638044428604047,14.32,3.23,4203,66.22,8.423706789385047,46.03863755603696,0.0,Country/Region,17458,116509,5795,11.509834911209845,0,1.4937287893710969,91927,24752,n/a,18496,0.0,12116,118919,13.78,n/a,126602,18352,72523,22460,36503,30699,128114,16471,28.65,6909,4.08,57.28,2.34,24.25,9.72,13.01,10.3,5.46,6.75,10.22,3546,25707,12.51,0,71.35
ENGLAND,154077,4684458,3,71.65,1.4073174497167,57656,44327,63.09,6.54316735724869,2.05,37.42,6278,49.71,10.026093975553021,30.403356763176852,14.56,3.47,3646,64.44,7.227859324204513,46.314497910784866,0.0,Country/Region,15137,97201,5339,10.130888489806088,0,1.5322997912388487,76593,22561,n/a,16121,0.0,10315,99291,14.64,n/a,108976,15830,62871,19266,32406,26373,109750,13829,28.77,5903,4.07,57.69,2.37,24.2,9.82,12.69,10.46,5.42,6.69,10.27,3151,22430,12.5,0,71.23
GERMANY (FED REP GER),148841,4385206,4,74.61,1.2466645474029334,62889,40181,67.05,6.320810845358181,1.78,42.25,6945,61.61,9.385608208710368,29.462352443211213,13.25,4.7,3087,63.86,6.982234919383969,45.82929464999563,0.0,Country/Region,13094,99797,6999,9.48370825201733,0,1.4848740831412295,91705,25089,n/a,17789,0.0,4407,95053,16.86,n/a,111819,14303,59573,17055,36877,24587,108660,13802,27.0,13857,4.67,53.28,2.07,21.99,8.8,12.34,11.95,12.39,2.96,9.61,2650,19715,11.46,0,73.0
CHINA MAINLAND,213518,4281848,5,71.92,0.7968114805309154,39593,27804,89.2,9.067440356347968,0.91,18.54,8301,78.45,9.164392217207144,20.053803426409015,8.79,1.38,2174,83.9,10.016278011549414,40.12923012720239,0.0,Country/Region,9477,190457,2941,9.260180071696494,0,1.0106923075365255,167504,60876,n/a,7569,0.0,2059,179149,28.51,n/a,137823,9767,54166,7852,40286,37647,185714,24632,13.02,21378,3.89,39.3,1.02,27.32,4.44,17.87,3.54,15.51,0.96,4.57,1947,18760,3.68,0,86.98
FRANCE,101468,2971312,6,77.25,1.2318682569874246,45719,31988,64.85,4.309027988637566,1.7,45.06,5123,58.41,6.359466419100864,29.283242007332362,13.13,4.62,2188,64.24,4.7599345126682335,47.41566948988844,0.0,Country/Region,9681,65805,4687,6.425936691165275,0,1.475847090311337,59272,23950,n/a,17160,0.0,2797,65180,23.6,n/a,76398,9742,41327,14996,21559,16879,69480,8734,31.53,9458,5.05,54.09,2.16,22.09,9.54,11.43,16.91,12.38,2.76,9.6,1729,13320,14.78,0,68.47
CANADA,94544,2919842,7,75.42,1.3192763855982401,36923,23769,66.48,4.0149874064508015,1.92,39.05,4324,57.3,6.249305743752357,30.88341936029785,13.67,2.73,1637,67.1,4.435124852817691,47.474292003723136,0.0,Country/Region,8704,62849,2581,6.3146245968802335,0,1.5564944820777566,54170,15319,n/a,7920,0.0,3409,63440,16.2,n/a,68858,8959,38556,9104,20774,16480,70775,9479,25.14,4343,4.57,55.99,1.73,23.93,9.21,13.77,8.38,6.31,3.61,9.48,1816,12925,9.63,0,74.86
JAPAN,116809,2442869,8,74.97,0.8183744334768726,26818,31023,79.92,4.960512184380941,0.84,22.96,5626,75.06,5.228445673750352,20.913362840192107,8.3,4.93,2063,74.53,5.479591501658293,40.47318260236797,0.0,Country/Region,14563,93359,5757,5.283094316184307,0,1.0540132710918535,87672,37370,n/a,9004,0.0,1737,87053,31.99,n/a,91111,8424,38146,8771,24546,23242,85786,19806,26.56,9917,4.82,41.87,1.77,25.51,12.47,21.74,7.71,10.88,1.49,7.21,981,9696,7.51,0,73.44
