Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2608617,45257321,n/a,67.04,0.9627991936340213,413981,634470,n/a,100,1.14,15.87,195510,n/a,100,17.349162793924904,9.62,1.92,52506,n/a,n/a,38.70868071043009,0.52,,175645,n/a,50099,n/a,13658,1.0,n/a,662008,n/a,217134,0.0,90985,n/a,25.38,n/a,1771483,251137,857558,210809,320731,414037,1974147,272470,24.32,227418,7.49,48.41,2.01,23.37,6.73,15.38,8.32,12.84,3.49,9.63,29725,250892,8.08,0,75.68
Baseline for All Items,2400508,44843593,n/a,71.26,0.9988083940565915,413981,619833,n/a,n/a,1.18,17.25,192679,n/a,n/a,18.68087629785029,10.12,2.09,51597,n/a,100,40.98156036159847,0.57,,167235,n/a,50099,100,13612,1.0767595255023894,n/a,662008,n/a,215038,0.0,89971,n/a,27.58,n/a,1681316,247892,817586,208322,314117,401497,1780675,259306,25.82,202927,8.03,48.63,2.15,23.88,6.97,15.42,8.96,12.07,3.75,10.33,28352,242988,8.68,0,74.18
USA,682245,17513346,1,69.74,1.3356511993492075,173202,214594,73.63,26.15351352843288,1.92,25.39,38843,64.6,38.697266238980426,25.67017127278324,13.85,3.32,17990,69.55,28.42085925145844,44.265952340288315,1.02,Country/Region,59249,502349,22634,39.05428808971663,6940,1.4796201740508235,440713,167287,n/a,62387,0.0,66195,474521,24.52,n/a,509857,84522,312409,98512,158020,113874,467651,57455,31.45,26119,5.69,61.27,2.64,22.33,8.68,11.27,9.14,5.12,9.7,12.39,13103,94475,14.44,0,68.55
CHINA MAINLAND,297086,5583030,2,73.48,0.8753487589452214,52768,52686,89.53,11.388640034163696,1.0,17.76,23326,80.83,12.336191972123139,18.792639168456272,9.44,1.53,5557,87.95,12.375963754338665,41.67947340635372,0.6,Country/Region,13423,265976,4536,12.450005957372772,1771,1.0832015003650104,240137,88356,n/a,16627,0.0,3183,261273,29.74,n/a,186534,20568,78815,10380,33689,45910,244400,37130,17.73,24679,7.85,42.25,1.87,24.61,4.52,19.91,5.6,13.23,1.07,6.92,2980,28048,3.49,0,82.27
UNITED KINGDOM,196693,5090027,3,70.74,1.4086828204359076,76375,62337,64.0,7.5401256681222275,2.07,38.83,12338,50.77,11.246858823128306,25.878028196224573,14.54,3.2,6631,63.99,8.193807310785884,45.53403874616789,1.08,Country/Region,19543,125892,6285,11.350622596186707,2133,1.4916009783069297,99869,28005,n/a,23418,0.0,15422,125866,14.24,n/a,140678,25791,84424,23825,27584,32010,134356,16629,31.69,7615,6.27,60.01,3.37,22.75,9.94,11.82,11.91,5.41,7.84,13.11,4066,28605,12.11,0,68.31
ENGLAND,170285,4473477,4,70.8,1.4357501805796165,66296,54335,62.39,6.527788479489323,2.13,38.93,10643,49.4,9.884537796658357,26.270528819332295,14.82,3.42,5957,62.18,7.093706832053883,45.73732869777139,1.11,Country/Region,17086,106245,5821,9.975732765213529,1897,1.5142245842854938,84124,25518,n/a,20554,0.0,13292,105890,14.99,n/a,122055,22653,73773,20649,24436,27532,115950,14206,31.91,6544,6.25,60.44,3.5,22.56,10.03,11.64,12.07,5.36,7.81,13.3,3627,25230,12.13,0,68.09
GERMANY (FED REP GER),157859,4221516,5,75.78,1.270525957975155,69402,48529,67.23,6.051444117706815,1.77,43.96,12265,61.05,9.327807980503309,26.742320678580253,13.53,4.83,4572,63.23,6.57606639927882,46.489741797426824,1.02,Country/Region,14139,106126,7625,9.413866547223368,1608,1.5414185108658107,96373,26930,n/a,21860,0.0,5444,99817,17.06,n/a,122387,20686,68381,17553,28853,25588,109330,14208,30.74,14210,7.77,55.87,2.9,20.91,8.96,11.61,13.85,11.61,3.45,13.1,2801,21365,11.12,0,69.26
FRANCE,107612,2818813,6,77.2,1.2735690127495076,50561,37525,64.85,4.125251042985613,1.69,46.98,8679,58.38,6.228413299143359,26.194225551053787,13.16,4.74,3200,62.14,4.482884456123454,47.13901863732669,0.96,Country/Region,10147,69787,5099,6.285876780658499,1030,1.5098264891621243,62821,26453,n/a,20038,0.0,3351,66869,24.58,n/a,82626,13362,46795,15499,17112,17618,70087,9383,34.87,8830,8.07,56.63,2.97,21.32,9.43,11.36,18.62,10.69,3.11,12.42,1824,14164,14.4,0,65.13
CANADA,102069,2754407,7,75.8,1.3627787790612234,41942,28591,66.82,3.9127629698035395,2.0,41.09,7660,58.11,6.0861026219382275,26.985735139954343,13.78,2.81,2411,65.24,4.251974998625291,47.30807540781237,1.11,Country/Region,9180,68201,2866,6.1422531419371325,1136,1.555448839837035,59316,17242,n/a,10121,0.0,4042,66586,16.89,n/a,76901,12527,43858,9340,16260,18164,73478,10015,28.01,4864,7.5,57.03,2.36,23.62,8.99,13.02,9.92,6.33,3.96,12.27,2041,14066,9.15,0,71.99
ITALY,95977,2376816,8,77.03,1.283874383446034,37445,28701,72.33,3.6792292620955855,1.6,39.01,8330,63.05,5.251782358041034,24.764433145441096,12.79,2.84,2394,67.21,3.998195381977481,47.091329108015465,0.82,Country/Region,7698,69418,2723,5.3002354204757856,785,1.4274137282355073,60511,23087,n/a,13277,0.0,2694,64505,24.05,n/a,73036,12279,39647,10279,12763,18492,67276,9419,29.9,5478,8.68,54.28,2.49,25.32,8.02,12.9,13.83,7.5,2.81,12.79,1531,12276,10.71,0,70.1
