Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,3201799,35170739,n/a,67.46,0.9643278339458536,626738,1097470,n/a,100,1.14,19.57,477090,n/a,100,10.984680487438467,9.67,1.97,101766,n/a,n/a,39.01029089618055,0.52,,227984,n/a,63112,n/a,16627,1.0,n/a,909883,n/a,376082,0.0,151982,n/a,28.42,n/a,2127513,467766,1025854,290630,76992,522964,2104329,315346,34.28,263349,14.9,48.22,3.18,24.58,7.12,14.82,11.75,12.38,4.75,14.61,36402,309634,9.08,0,65.72
Baseline for All Items,2993551,34973621,n/a,71.06,0.9842240988043967,626738,1070312,n/a,n/a,1.16,20.94,469926,n/a,n/a,11.682988196960734,10.02,2.11,100550,n/a,100,40.88639649630156,0.55,,212827,n/a,63112,100,16581,1.0635710533702656,n/a,909883,n/a,371757,0.0,151121,n/a,30.39,n/a,2026835,460840,963025,287009,76498,513196,1923239,307530,35.75,243084,15.7,47.51,3.36,25.32,7.11,15.17,12.42,11.99,5.05,15.39,34716,300093,9.59,0,64.25
USA,797701,11926419,1,68.76,1.3139923001224771,250137,305822,81.25,24.914149826394475,1.93,31.36,84869,66.06,33.91006086053523,14.950989155084423,13.72,3.55,31971,68.33,26.647316180683074,43.43364986504969,0.97,Country/Region,84878,648130,28279,34.10118443269,7768,1.3610763801625025,526999,208441,n/a,93212,0.0,72865,545102,26.13,n/a,587634,129608,347915,104104,36075,138224,491879,64052,38.34,37443,10.64,59.21,4.01,23.52,10.64,10.9,11.69,6.37,9.13,16.25,15414,109446,13.05,0,61.66
CHINA MAINLAND,473736,7832321,2,80.81,1.0518802864886774,112457,144898,92.06,14.795931912028207,1.41,23.74,88628,81.95,22.26942402319155,16.533092270800616,11.75,2.05,10974,89.73,15.825218945660188,46.795214031865854,0.91,Country/Region,23721,436104,9705,22.394938745404716,4305,1.505104521675167,388211,163781,n/a,49600,0.0,8657,425078,34.57,n/a,350535,67730,158923,21575,15295,95760,328838,54845,30.59,41007,18.71,45.34,2.32,27.32,5.01,15.65,10.47,11.7,1.83,14.3,6679,55687,4.55,0,69.41
UNITED KINGDOM,239798,3947383,3,70.96,1.4545655868689482,117977,136545,70.07,7.489477009643641,2.25,49.2,30558,50.37,11.22348609166273,16.461284080767978,15.21,3.93,22127,62.04,8.010486542571012,46.34541671031452,1.21,Country/Region,21198,168026,9416,11.286743800420322,2896,1.498567400261872,120775,33160,n/a,56466,0.0,58329,148760,13.83,n/a,169269,58936,100815,62662,7797,40356,103253,18945,56.94,9153,12.74,59.56,9.23,23.84,8.84,11.19,23.55,5.41,24.32,24.58,5391,36482,26.13,0,43.06
ENGLAND,210373,3526203,4,70.98,1.4791532150038265,103513,119673,68.56,6.570462418159291,2.33,49.2,26880,48.96,10.025956520276699,16.76167093685977,15.47,4.18,19675,60.53,7.02754020225478,46.52398928094385,1.25,Country/Region,18730,144234,8792,10.082464723912917,2625,1.5259133805509937,102999,30649,n/a,51064,0.0,49235,127339,14.57,n/a,149014,52526,89097,54388,7113,35344,90700,16584,56.89,7989,12.78,59.79,9.35,23.72,8.9,11.13,24.27,5.36,23.4,24.97,4907,32548,25.85,0,43.11
GERMANY (FED REP GER),187403,3121364,5,76.01,1.2890130286067993,93950,77362,71.58,5.85305323663353,1.9,50.13,27463,59.96,8.874888867134693,16.655891314440005,13.64,5.38,9908,64.9,6.260224061657878,46.987720086658165,1.12,Country/Region,15785,134135,10081,8.924909433884471,2096,1.5162836400646202,112372,32403,n/a,33170,0.0,11680,121628,17.29,n/a,139769,38375,74890,24206,7575,34248,110041,16166,41.28,14465,14.65,53.58,5.29,24.5,8.42,11.57,17.7,10.35,6.23,20.48,3560,25568,12.92,0,58.72
CANADA,122144,2079921,6,75.45,1.3815278106169768,59992,45203,70.15,3.8148553360157837,2.12,49.12,15662,57.83,5.913782476961886,17.02843365208279,14.01,3.44,4494,63.58,4.0802378178958705,47.09266567821588,1.23,Country/Region,11828,85680,4200,5.947113683195687,1506,1.5501983577542975,70630,20857,n/a,14985,0.0,7464,77664,17.08,n/a,91018,21338,51341,13219,4393,22827,76941,11197,37.01,5653,12.82,56.41,3.68,25.08,9.68,12.3,12.27,6.21,6.11,17.47,2589,17110,10.82,0,62.99
AUSTRALIA,111868,2076628,7,78.43,1.4663887367254265,56643,45078,71.0,3.4939107670406546,2.29,50.63,14882,58.48,5.904419580151557,18.563199485107447,15.47,2.22,3799,64.53,3.736966565794269,50.15248426985375,1.33,Country/Region,9777,79422,2482,5.9376980153127406,1490,1.689917108316022,65415,22602,n/a,16353,0.0,9526,72185,20.2,n/a,84458,22339,46220,16620,3298,21349,66790,10985,40.3,5904,13.3,54.73,3.4,25.28,8.74,13.01,14.62,6.99,8.52,19.97,2562,17310,14.86,0,59.7
FRANCE,124869,2053278,8,76.93,1.25302933554365,69394,58603,66.32,3.899963739135405,1.83,55.57,17438,56.62,5.838029163959279,16.443456742666314,12.94,5.61,5507,61.13,4.171266833269251,46.77511200778416,1.12,Country/Region,11639,82808,7002,5.870933410069264,1401,1.496944472938492,70699,28643,n/a,31276,0.0,7451,76336,22.94,n/a,93393,23992,52456,24019,4816,21728,66266,10711,46.93,8498,13.97,56.17,4.41,23.27,9.32,11.47,25.05,9.1,5.97,19.21,2289,16162,19.24,0,53.07
