Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2952997,41387739,n/a,68.44,0.9681681812070924,542191,875718,n/a,100,1.14,18.36,345089,n/a,100,14.015503232817371,9.74,1.99,79782,n/a,n/a,39.31358624465247,0.52,,193693,n/a,58743,n/a,15384,1.0,n/a,813717,n/a,310754,0.0,124559,n/a,27.56,n/a,1999519,378936,965096,257154,158952,477826,2077279,303056,29.66,253541,11.69,48.27,2.7,23.9,6.56,15.16,10.52,12.68,4.22,12.83,33652,287538,8.71,0,70.34
Baseline for All Items,2757101,41129618,n/a,72.18,0.9985334806015449,542191,856648,n/a,n/a,1.17,19.67,339536,n/a,n/a,14.917704501938811,10.16,2.13,78714,n/a,100,41.29556090814229,0.56,,183722,n/a,58743,100,15350,1.0643716643016379,n/a,813717,n/a,307326,0.0,123903,n/a,29.51,n/a,1913788,372919,918846,254676,157609,468629,1900453,294633,31.07,231680,12.31,48.01,2.85,24.49,6.66,15.4,11.15,12.11,4.49,13.53,32366,280108,9.24,0,68.93
USA,744311,14714071,1,70.33,1.3527711014616202,219473,265176,76.39,25.205274505866416,1.99,29.49,65459,65.89,35.551763289122896,19.768713615679466,14.08,3.47,25469,67.58,26.996145589153244,44.45085348422904,1.0,Country/Region,71804,568560,25855,35.77487882333359,7417,1.4104890339856597,490432,189249,n/a,82399,0.0,70322,503027,25.43,n/a,557030,111570,334639,102444,78450,127026,479135,60268,35.63,35097,8.79,60.08,3.42,22.8,9.65,10.82,11.07,6.3,9.45,14.99,14803,104776,13.76,0,64.37
CHINA MAINLAND,392281,7400450,2,80.0,0.9497927378588308,86185,94496,90.68,13.28416520572151,1.18,21.97,49673,82.09,17.88077865282759,18.865175728623104,10.58,1.97,9160,88.32,14.228024290731462,45.01287952666584,0.75,Country/Region,19471,355702,7724,17.992994731922867,2927,1.346022002581413,322020,130406,n/a,34309,0.0,5644,346463,33.24,n/a,292603,44878,124251,16192,22315,78643,297785,52952,24.09,36757,12.66,42.46,2.34,26.88,4.96,18.1,8.75,12.56,1.44,11.44,4620,41521,4.13,0,75.91
UNITED KINGDOM,225886,4632135,3,70.61,1.4386346812108763,102064,100812,66.29,7.649381289584785,2.18,45.18,23604,51.44,11.192046514065433,20.506516561451352,15.09,3.65,15745,59.73,8.192880855652367,45.90834701442321,1.15,Country/Region,19355,149749,8236,11.262285489741238,2603,1.4631309501206664,116187,31542,n/a,37385,0.0,38383,134926,13.96,n/a,160864,45226,97611,42108,14873,36737,125074,17319,44.63,9197,10.45,60.68,6.97,22.84,8.57,10.77,16.55,5.72,16.99,20.02,4915,34087,18.64,0,55.37
ENGLAND,197353,4141657,4,70.69,1.4668176394582297,89355,88185,64.78,6.6831425836192855,2.25,45.28,20686,50.12,10.006966072729897,20.986035175548384,15.35,3.91,14025,58.02,7.1579894969389946,46.158269279413034,1.2,Country/Region,17076,127842,7712,10.069767727966742,2361,1.4973443926301182,98923,29147,n/a,33116,0.0,32728,114497,14.77,n/a,141324,40121,86239,36398,13194,32085,109168,15072,44.68,7928,10.48,61.02,7.11,22.7,8.65,10.66,16.78,5.61,16.58,20.33,4449,30298,18.44,0,55.32
GERMANY (FED REP GER),176129,3793077,5,76.42,1.3328224727330538,84097,63858,68.44,5.964415134861295,1.97,47.75,21052,61.14,9.164735962020057,21.535789109118884,13.84,5.26,7834,62.04,6.388195427008296,47.19864012570332,1.09,Country/Region,14452,120548,9270,9.222251954783534,1915,1.5365690943363863,107683,30581,n/a,28424,0.0,8768,109271,17.36,n/a,133718,30269,75373,20520,15814,29380,112271,14712,36.26,14253,11.95,56.37,4.45,21.97,8.21,11.0,16.14,10.66,4.98,17.19,3466,24374,11.65,0,63.74
CANADA,114843,2512773,6,76.41,1.4199216896110343,52561,37303,67.61,3.8890320579397812,2.06,45.77,12325,58.17,6.071298072117445,21.88007105352525,14.27,3.24,3594,62.77,4.165353391116248,47.703236687477684,1.11,Country/Region,10084,77649,3725,6.109400286674192,1270,1.561133459859861,66804,19319,n/a,13043,0.0,5651,72085,16.82,n/a,85650,17673,48466,11300,7657,20587,77540,11199,32.48,5398,10.73,56.59,3.13,24.04,8.78,13.08,11.36,6.3,4.92,15.39,2368,16385,9.84,0,67.52
FRANCE,120743,2490866,7,77.23,1.2917079168150536,62840,48983,65.37,4.088829077713251,1.86,52.04,13589,58.17,6.018366937125993,20.62948576729086,13.05,5.53,4184,59.58,4.379346277122238,47.00686440704637,1.04,Country/Region,10833,78925,6677,6.0561369667960445,1251,1.4719047489487793,70235,29729,n/a,26523,0.0,5293,71941,24.62,n/a,90288,19209,51655,20377,8857,20210,71760,10226,40.57,8197,11.25,57.21,3.47,22.38,8.97,11.33,21.97,9.08,4.38,15.91,2241,15757,16.88,0,59.43
AUSTRALIA,104609,2372272,8,78.15,1.4180599652037589,47457,35807,69.45,3.5424688883869506,2.11,45.37,11154,59.06,5.731823137282276,22.677513407068226,14.87,2.31,2956,63.53,3.7941664088475537,49.54300204093339,1.18,Country/Region,8275,72654,2416,5.767794877161271,1230,1.6180306215454836,61781,21737,n/a,14105,0.0,6343,66461,20.78,n/a,78055,17453,42009,13422,5677,20335,68802,10749,34.23,4962,10.66,53.82,2.83,26.05,7.91,13.77,13.48,6.36,6.06,16.68,2203,15554,12.83,0,65.77
ITALY,117918,2311901,9,76.73,1.2923192845875948,50296,42571,74.08,3.993163555533582,1.77,42.65,14853,64.76,5.585956265936634,19.60600586848488,13.7,3.3,3656,66.39,4.276883581704116,47.86718999898235,0.89,Country/Region,8507,87356,3896,5.621012575414632,1049,1.398879907685178,76359,29805,n/a,21449,0.0,4727,78280,25.28,n/a,86011,20574,46662,15555,6243,20830,75347,12871,36.1,5648,12.6,54.25,3.1,24.22,7.21,14.96,18.19,6.57,4.01,17.45,2092,16160,13.19,0,63.9
JAPAN,124390,1877908,10,76.64,0.870324354047753,33400,44666,81.29,4.2123307270545824,0.98,26.85,20258,76.78,4.537353441800723,15.09693705281775,8.21,5.05,4185,73.21,4.511622896658483,40.38784573277595,0.61,Country/Region,11046,101116,6282,4.565828936218177,753,1.0771598280872425,95504,39679,n/a,14738,0.0,2951,91063,31.9,n/a,94531,19096,43660,9177,7900,23211,79724,18459,35.91,9201,16.29,46.19,3.36,24.55,8.88,19.53,11.85,9.73,2.37,15.35,1214,10217,7.38,0,64.09
SPAIN,100905,1866062,11,73.14,1.1308870947921312,42620,38022,73.4,3.417036996651199,1.52,42.24,14400,61.88,4.508731438554785,18.493256032902234,11.46,2.78,3206,67.44,3.659822400412607,43.882261229869684,0.89,Country/Region,6488,74065,2804,4.537027307182868,903,1.3194856956402523,62440,20979,n/a,17788,0.0,6689,68049,20.79,n/a,72223,18160,40652,13928,5317,15693,62883,9069,37.68,6809,14.27,56.29,3.18,21.73,6.43,12.56,17.63,9.43,6.63,18.0,1531,11568,13.8,0,62.32
NETHERLANDS,63501,1730468,12,79.4,1.6323833136486041,35758,27641,64.61,2.150391619090707,2.79,56.31,8033,57.96,4.181112672040384,27.25103541676509,17.76,5.61,3764,55.19,2.303180043095991,52.71197211539976,1.62,Country/Region,6454,41026,3561,4.207352472857881,1030,1.9443494082293566,36804,10755,n/a,10485,0.0,4089,35044,16.94,n/a,50901,16473,32858,9390,6690,11124,35860,4895,43.53,2024,12.65,64.55,5.93,21.85,10.16,9.62,16.51,3.98,6.44,25.94,1772,11275,14.79,0,56.47
INDIA,122562,1532742,13,75.14,0.7690469803038462,20875,30841,89.49,4.150427514826463,0.79,17.03,17375,82.22,3.7033721508681596,12.505850100357371,7.43,1.09,2419,87.14,4.445321371977305,38.72137930027252,0.35,Country/Region,4444,109683,1340,3.726613750703933,434,0.8922869120442897,100771,30017,n/a,8114,0.0,1800,106804,24.49,n/a,68812,13438,22225,6603,3231,20034,91721,13085,25.16,13468,14.18,32.3,1.97,29.11,3.63,19.02,6.62,19.57,1.47,10.96,973,9105,5.39,0,74.84
SOUTH KOREA,81843,1427397,14,80.96,0.9488137250589543,21281,25476,83.29,2.7715233032746056,1.11,26.0,13269,80.24,3.448840247107966,17.440672995857923,8.98,4.4,2071,78.29,2.968444028709866,42.888663142846674,0.63,Country/Region,5740,68171,3598,3.470484457210373,514,1.2443843582455534,65674,27726,n/a,11627,0.0,1387,64078,33.88,n/a,65534,14001,28688,4396,6434,16558,56367,12686,31.13,7602,16.21,43.78,2.53,25.27,7.01,19.36,14.21,11.6,1.69,17.11,908,7353,5.37,0,68.87
SWITZERLAND,48386,1421851,15,78.68,1.7388172797916754,31228,23095,56.49,1.6385387455523999,3.1,64.54,6980,50.82,3.4354401432752826,29.385586739966104,18.39,7.77,2640,49.16,1.754959285133189,51.72690114082586,1.8,Country/Region,4410,27334,3761,3.457000257089672,871,2.0966487076368123,24589,4449,n/a,10097,0.0,6251,23787,9.19,n/a,38294,12592,23694,9065,5032,8953,25291,3585,47.73,2062,14.43,61.87,5.46,23.38,9.11,9.36,20.87,5.38,12.92,26.02,1500,8896,18.73,0,52.27
SWEDEN,41560,1065443,16,81.92,1.5073840327237729,24474,18023,61.01,1.407383752844991,2.37,58.89,5848,55.06,2.5742962185008467,25.63626082771896,16.17,6.67,2664,55.15,1.5073803970184625,52.42672929499519,1.37,Country/Region,3555,25356,2774,2.590451970645582,570,1.8291359505159634,22881,6045,n/a,7819,0.0,2667,22919,14.55,n/a,32246,9354,19212,5956,3616,7893,23537,3726,43.37,1415,14.07,59.58,6.41,24.48,8.55,11.55,18.81,4.39,6.42,22.51,986,6721,14.33,0,56.63
BRAZIL,71241,963822,17,74.71,0.8293900436546372,20982,31354,84.29,2.4124982179121752,0.84,29.45,20316,73.67,2.328762148616043,13.52903524655746,7.15,1.3,2260,77.89,2.5839096935513064,38.43778865681279,0.46,Country/Region,3788,60046,925,2.343376979577102,329,0.965290722838917,52484,23696,n/a,13774,0.0,1718,55489,33.26,n/a,49962,19167,18429,4990,1846,12186,39887,8574,44.01,10773,28.52,36.89,3.17,24.39,5.32,17.16,19.33,21.56,2.41,26.9,599,5097,7.0,0,55.99
BELGIUM,36043,885003,18,79.01,1.5438159725882974,22392,15455,60.31,1.2205566074059675,2.52,62.13,4453,53.7,2.138321689909178,24.554088172460673,16.64,6.47,1515,52.89,1.3072789136125227,51.095962239547205,1.47,Country/Region,2961,21738,2332,2.1517413558278125,530,1.7519234068575684,19354,4129,n/a,5624,0.0,3838,19064,11.46,n/a,27812,8216,16686,6526,2836,6308,20588,3109,42.88,1709,12.35,60.0,4.2,22.68,8.22,11.18,15.6,6.14,10.65,22.79,910,5999,18.11,0,57.12
DENMARK,28597,811804,19,81.23,1.6329158932755186,16539,12074,60.79,0.9684059956715161,2.64,57.83,3747,54.66,1.9614601319487397,28.38773297898381,17.76,5.58,1427,54.22,1.037212637476828,52.99198955484841,1.57,Country/Region,2793,17383,1595,1.9737698512055228,450,2.025452280051835,15630,3967,n/a,5288,0.0,1850,15506,13.87,n/a,22781,6326,14043,4107,2606,5315,16523,2530,42.22,893,13.1,61.64,4.99,23.33,9.77,11.11,18.49,3.92,6.47,22.12,754,5080,14.36,0,57.78
IRAN,42203,658928,20,86.57,0.8441074378598679,8828,8534,90.64,1.4291582416101336,0.87,20.92,3991,79.94,1.5920850375518218,15.6132976328697,8.56,0.6,1130,89.03,1.5307019945950473,44.61930404710566,0.4,Country/Region,1360,38253,253,1.6020766348960498,169,1.1140019286864482,33739,13208,n/a,3814,0.0,544,37574,31.3,n/a,31009,3666,7906,2053,824,9000,33669,7752,20.22,6351,9.46,25.5,2.68,29.02,3.22,25.0,9.04,20.48,1.29,8.69,369,3613,4.86,0,79.78
SCOTLAND,27166,657636,21,74.09,1.627843657513068,12899,13946,56.1,0.9199467524010354,2.76,47.48,3322,42.81,1.5889633400848497,24.20805418537878,16.53,3.4,2393,50.75,0.9853102951252057,48.53175478539351,1.57,Country/Region,2408,15239,925,1.5989353462995939,427,1.7272340338586987,11630,5029,n/a,5029,0.0,7091,13786,18.51,n/a,19659,6430,12162,5823,1925,4537,13220,1890,51.34,1070,12.23,61.86,8.81,23.08,8.86,9.61,18.51,5.44,26.1,23.67,750,4490,21.43,0,48.66
SINGAPORE,21649,611231,22,80.65,1.5957374012656473,12366,6274,66.52,0.7331196069620117,2.78,57.12,2340,60.47,1.4768407619464305,28.233682849092336,17.72,3.08,567,58.4,0.785208811719266,52.52843535498176,1.7,Country/Region,1234,14401,667,1.4861091099849262,369,2.0144608709434726,13092,2476,n/a,2255,0.0,900,12642,11.44,n/a,15567,3096,9396,2133,2533,3523,15375,1750,28.98,898,10.81,60.36,2.62,22.63,5.7,11.24,10.42,5.77,4.16,14.3,602,3837,9.85,0,71.02
TAIWAN,38860,609349,23,79.3,0.9212423417395781,10576,10959,81.65,1.3159512183723858,0.94,27.22,6161,76.68,1.4722935215185349,15.680622748327329,8.64,2.32,870,79.08,1.409451449185213,43.64575428461143,0.52,Country/Region,2339,31731,902,1.4815333320139272,203,1.118805546104907,29797,15297,n/a,4276,0.0,859,30731,39.36,n/a,29837,5416,14429,1589,1941,8160,27901,4410,28.2,2838,15.85,48.36,2.24,27.35,6.02,14.78,11.0,9.51,2.21,13.94,366,3358,4.09,0,71.8
POLAND,44802,592570,24,76.87,0.9098032610151333,13262,17200,77.12,1.5171705220154306,0.99,29.6,9206,63.85,1.4317525294145688,13.226418463461453,8.37,1.9,2751,75.99,1.62496767437972,39.485375440828534,0.48,Country/Region,2340,34550,851,1.440737913004687,216,0.9436991482754417,28607,9016,n/a,7792,0.0,1237,34045,20.12,n/a,30902,5786,11133,2903,1680,7923,27602,5708,38.39,6138,20.55,36.03,6.14,25.64,5.22,18.47,17.39,19.86,2.76,12.91,443,3748,6.48,0,61.61
AUSTRIA,26652,589301,25,75.62,1.4174463492420832,15642,9899,59.77,0.9025407069495837,2.16,58.69,3208,52.21,1.423854054941247,22.11094852168693,14.7,5.64,1769,52.98,0.9666675250562093,47.58733078193006,1.23,Country/Region,2138,15929,1503,1.432789869334551,327,1.5776064658109479,13916,2827,n/a,4153,0.0,1735,14120,10.61,n/a,19764,4907,11182,2784,2067,4389,16753,2650,37.14,1543,12.04,56.58,6.64,22.21,8.02,13.41,15.58,7.81,6.51,18.41,575,3919,10.45,0,62.86
HONG KONG,19884,570141,26,84.0,1.655773501307584,7095,5448,58.18,0.6733498205382531,2.89,35.68,2344,56.31,1.3775601513288753,28.67335546167773,18.63,2.63,437,53.36,0.721192295820864,55.2052034600684,1.56,Country/Region,967,11569,522,1.3862054347307577,310,2.045831318745582,11197,6667,n/a,2379,0.0,666,10611,33.53,n/a,15016,2775,8856,1700,1751,3483,14436,1843,27.4,834,11.79,58.98,2.2,23.2,4.86,12.27,11.96,5.55,3.35,13.96,574,3705,8.55,0,72.6
RUSSIA,62965,567819,27,69.87,0.6891902803144604,16539,16095,80.75,2.132240567802812,0.71,26.27,8213,64.56,1.371949794116562,9.018010005558644,5.8,1.33,1007,78.52,2.2837393334520573,32.279745477646316,0.3,Country/Region,2860,50846,839,1.3805598680736593,188,0.6434310531528349,40648,15746,n/a,6536,0.0,1244,49440,25.01,n/a,38475,4607,10758,4015,1465,6262,46870,6515,25.56,14940,13.04,27.96,1.6,16.28,4.54,16.93,10.38,38.83,1.98,7.32,446,3652,6.38,0,74.44
TURKEY,50161,539837,28,72.05,0.7735166264627898,8954,15328,85.22,1.6986471709927238,0.76,17.85,8030,75.48,1.3043403989766147,10.76208608281334,6.69,1.52,839,80.42,1.8193385008383807,35.41301042842049,0.29,Country/Region,2719,42748,761,1.3125261703135682,147,0.7678701152602114,37863,17660,n/a,6091,0.0,803,40337,35.21,n/a,35707,6513,9890,3740,837,7516,34833,7320,30.56,10981,16.01,27.7,1.67,21.05,5.42,20.5,12.14,30.75,1.6,12.98,380,3354,7.46,0,69.44
ISRAEL,22001,500674,29,79.44,1.4158817235580201,10221,7539,66.47,0.745039700345107,2.11,46.46,2418,55.26,1.2097157566399073,22.756874687514205,14.18,3.03,755,64.92,0.7979758449182673,48.579056465615196,1.2,Country/Region,1896,14625,666,1.2173076832369316,265,1.6236930140495325,12158,3760,n/a,3396,0.0,1047,14284,17.09,n/a,16815,3394,9421,2470,2126,4075,14462,2291,34.27,1028,10.99,56.03,3.43,24.23,8.62,13.62,15.44,6.11,4.76,15.43,464,3119,11.23,0,65.73
FINLAND,20491,497569,30,82.86,1.4218190571470404,11414,7676,63.53,0.6939052088437611,2.29,55.7,2531,56.14,1.2022135347862322,24.282319066907423,15.59,4.0,937,58.89,0.7432081740930057,52.34943942218535,1.28,Country/Region,1558,13017,820,1.2097583789861603,263,1.7325328005383531,11503,3354,n/a,3140,0.0,1612,12068,16.37,n/a,14989,4025,8497,2650,1349,3839,12815,1872,37.46,781,12.35,56.69,4.57,25.61,7.6,12.49,15.32,5.21,7.87,19.64,469,3195,12.93,0,62.54
SAUDI ARABIA,19237,497042,31,84.58,1.2484387638405159,13939,6659,53.71,0.6514398761664845,2.25,72.46,3549,50.17,1.2009402108194411,25.83781254873421,14.3,1.49,565,45.95,0.6977256183215631,49.07832538857411,1.67,Country/Region,857,10333,287,1.2084770639007636,322,1.8435165772881306,9652,864,n/a,2622,0.0,758,8839,4.49,n/a,14637,3410,5783,1688,1506,3762,12578,2731,34.62,2361,18.45,39.51,2.94,25.7,4.45,18.66,13.63,16.13,3.94,17.73,433,2750,8.77,0,65.38
NORWAY,21532,493319,32,78.52,1.4077185630689206,11734,9323,62.7,0.729157530468199,2.22,54.5,3839,50.81,1.1919447931185612,22.910969719487273,15.21,6.19,1225,58.55,0.7809652239798252,50.2311133197102,1.31,Country/Region,1485,13501,1333,1.1994251928136068,281,1.6346876269016957,10940,3316,n/a,3515,0.0,2078,12607,15.4,n/a,15170,4522,8434,2774,1026,3918,12209,1941,43.3,877,17.83,55.6,5.69,25.83,6.9,12.79,16.32,5.78,9.65,21.0,477,3274,12.88,0,56.7
PORTUGAL,25611,465877,33,74.88,1.1242198078950452,11830,9943,74.44,0.867288385325146,1.41,46.19,3539,64.45,1.1256401322140357,18.190504080278007,11.83,1.82,658,64.41,0.92891047516939,45.092678372574284,0.78,Country/Region,1677,19066,467,1.132704417531911,199,1.2978844767903053,16506,5894,n/a,4995,0.0,1144,16497,23.01,n/a,17618,4616,9311,4069,933,4444,15668,2178,38.82,1685,13.82,52.85,2.57,25.22,6.55,12.36,19.5,9.56,4.47,18.02,360,3030,15.89,0,61.18
