Name;Web of Science Documents;Times Cited;Rank;% Docs Cited;Category Normalized Citation Impact;International Collaborations;All Open Access Documents;% First Author (2008-2022);% Global Baseline (Docs);% Documents in Top 1%;% International Collaborations;Gold Documents;% Last Author (2008-2022);% Global Baseline (Cites);Citation Impact;% Documents in Top 10%;% Industry Collaborations;Gold - Hybrid Documents;% Corresponding Author (2008-2022);% Baseline for All Items (Docs);Average Percentile;% Highly Cited Papers;Location Type;Free to Read Documents;First Author (2008-2022);Industry Collaborations;% Baseline for All Items (Cites);Highly Cited Papers;Impact Relative to World;Last Author (2008-2022);Domestic Collaborations;% Baseline for Pinned Items (Docs);Green Submitted Documents;% Hot Papers;Green Accepted Documents;Corresponding Author (2008-2022);% Domestic Collaborations;% Baseline for Pinned Items (Cites);Documents in JIF Journals;Green Published Documents;Documents in Q1 Journals;Green Only Documents;Citations From Patents;Documents in Q2 Journals;Non-Open Access Documents;Documents in Q3 Journals;% All Open Access Documents;Documents in Q4 Journals;% Gold Documents;% Documents in Q1 Journals;% Gold - Hybrid Documents;% Documents in Q2 Journals;% Free to Read Documents;% Documents in Q3 Journals;% Green Submitted Documents;% Documents in Q4 Journals;% Green Accepted Documents;% Green Published Documents;Documents in Top 1%;Documents in Top 10%;% Green Only Documents;Hot Papers;% Non-Open Access Documents
Global Baseline;1329654;36253783;n/a;67.26;0.990290981;155373;163818;n/a;100;1.23;11.69;8704;n/a;100;27.26557661;10.01;1.96;11445;n/a;n/a;39.17585336;0;;85593;n/a;26057;n/a;0;1;n/a;243899;n/a;43206;0;5488;n/a;18.34;n/a;1004023;46358;477234;58076;609936;227118;1165836;158038;12.32;141633;0.65;47.53;0.86;22.62;6.44;15.74;3.25;14.11;0.41;3.49;16417;133070;4.37;0;87.68
Baseline for All Items;1158577;36036913;n/a;74.84;1.05690957;155373;159470;n/a;n/a;1.32;13.41;8429;n/a;n/a;31.1044609;10.91;2.25;11365;n/a;100;43.31890262;0;;82364;n/a;26057;100;0;1.140796006;n/a;243899;n/a;42721;0;5381;n/a;21.05;n/a;905449;45730;444652;57312;605733;213917;999107;140777;13.76;106103;0.73;49.11;0.98;23.63;7.11;15.55;3.69;11.72;0.46;3.95;15245;126387;4.95;0;86.24
USA;426749;17408829;1;71.65;1.373152238;70822;64272;0;32.09474044;1.96;16.6;2294;0;48.01934463;40.79407099;14.28;3.05;6047;0;36.83389192;45.61646945;0;Country/Region;31805;0;13027;48.30832486;0;1.496174887;0;89476;n/a;16286;0;2190;0;20.97;n/a;334915;19550;202618;24126;329504;69071;362477;40500;15.06;22726;0.54;60.5;1.42;20.62;7.45;12.09;3.82;6.79;0.51;4.58;8385;60952;5.65;0;84.94
UNITED KINGDOM;112425;4070029;2;73.27;1.248094686;29705;20090;0;8.455207144;1.64;26.42;490;0;11.22649463;36.20217034;12.75;2.86;973;0;9.703714125;45.18420423;0;Country/Region;11551;0;3220;11.29405563;0;1.327761039;0;15546;n/a;4844;0;1725;0;13.83;n/a;89931;7224;49887;7076;52448;21721;92335;10815;17.87;7508;0.44;55.47;0.87;24.15;10.27;12.03;4.31;8.35;1.53;6.43;1845;14332;6.29;0;82.13
ENGLAND;95783;3528828;3;73.42;1.265587062;25434;17366;0;7.203603343;1.69;26.55;421;0;9.733682137;36.84190305;12.96;3.14;849;0;8.267296865;45.45782015;0;Country/Region;9930;0;3007;9.792259398;0;1.351224057;0;14106;n/a;4300;0;1506;0;14.73;n/a;76766;6288;43019;6166;45375;18308;78417;9152;18.13;6287;0.44;56.04;0.89;23.85;10.37;11.92;4.49;8.19;1.57;6.56;1617;12416;6.44;0;81.87
GERMANY (FED REP GER);91611;3272075;4;79.64;1.080024416;30230;13659;0;6.889837507;1.36;33;415;0;9.025471907;35.71705363;11.66;3.49;882;0;7.907199953;46.0689275;0;Country/Region;6597;0;3194;9.079787162;0;1.309968762;0;12331;n/a;4846;0;407;0;13.46;n/a;74570;3797;36740;5765;57249;17825;77952;10956;14.91;9049;0.45;49.27;0.96;23.9;7.2;14.69;5.29;12.13;0.44;4.14;1249;10679;6.29;0;85.09
JAPAN;94889;2636660;5;81.44;0.839785357;15807;16452;0;7.136367807;0.92;16.66;844;0;7.27278585;27.78678245;8.51;4.9;1108;0;8.190133241;43.68398635;0;Country/Region;10833;0;4646;7.316553446;0;1.019115893;0;25267;n/a;2776;0;138;0;26.63;n/a;75363;3007;34394;3667;52163;20948;78437;12129;17.34;7892;0.89;45.64;1.17;27.8;11.42;16.09;2.93;10.47;0.15;3.17;869;8079;3.86;0;82.66
FRANCE;63045;2274097;6;81.74;1.049403808;21909;11199;0;4.741459056;1.27;34.75;417;0;6.272716422;36.07101277;11.51;3.37;817;0;5.441589122;47.02973083;0;Country/Region;5631;0;2126;6.310465605;0;1.322950667;0;12107;n/a;4112;0;245;0;19.2;n/a;51894;3075;25164;4334;29050;11734;51846;7738;17.76;7258;0.66;48.49;1.3;22.61;8.93;14.91;6.52;13.99;0.39;4.88;803;7257;6.87;0;82.24
CANADA;49807;1942720;7;77.03;1.204738523;15375;7515;0;3.745861705;1.66;30.87;265;0;5.358668363;39.00495914;12.91;2.41;683;0;4.29898056;47.3958592;0;Country/Region;4112;0;1200;5.390916808;0;1.430556914;0;7086;n/a;1900;0;184;0;14.23;n/a;39971;2045;22173;2455;23050;9477;42292;5287;15.09;3034;0.53;55.47;1.37;23.71;8.26;13.23;3.81;7.59;0.37;4.11;826;6432;4.93;0;84.91
ITALY;45056;1466085;8;80.99;1.018582098;13993;7272;0;3.388550706;1.25;31.06;213;0;4.043950393;32.53917347;10.73;2.27;393;0;3.888908549;46.83368833;0;Country/Region;3726;0;1024;4.06828687;0;1.19341593;0;10735;n/a;2756;0;178;0;23.83;n/a;37091;1765;18883;2940;20190;9618;37784;5094;16.14;3496;0.47;50.91;0.87;25.93;8.27;13.73;6.12;9.43;0.4;3.92;561;4835;6.53;0;83.86
