Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1859787,43997394,n/a,65.71,0.9739359944445252,255885,287162,n/a,100,1.19,13.76,32932,n/a,100,23.65722203671711,9.83,2.14,17996,n/a,n/a,38.34226595733812,0.0,,120365,n/a,39885,n/a,1,1.0,n/a,417407,n/a,87609,0.0,20865,n/a,22.44,n/a,1296175,88067,622227,115869,550283,292438,1572625,201099,15.44,180411,1.77,48.0,0.97,22.56,6.47,15.51,4.71,13.92,1.12,4.74,22122,182900,6.23,0,84.56
Baseline for All Items,1644811,43520559,n/a,71.87,1.0252896281092478,255885,275768,n/a,n/a,1.25,15.56,31435,n/a,n/a,26.45930687477163,10.56,2.42,17675,n/a,100,41.680463266843425,0.0,,113423,n/a,39885,100,1,1.1184452187034284,n/a,417407,n/a,86238,0.0,20308,n/a,25.38,n/a,1189860,85291,580200,113235,545397,280774,1369043,184220,16.77,144666,1.91,48.76,1.07,23.6,6.9,15.48,5.24,12.16,1.23,5.19,20602,173757,6.88,0,83.23
USA,549006,19238239,1,70.31,1.351434274853098,112155,105770,0.0,29.51983210980612,1.95,20.43,8024,0.0,43.72586021799382,35.041946718250806,14.16,3.41,7789,0.0,33.37805985003748,44.78455251181226,0.0,Country/Region,43739,0,18716,44.20494461020135,0,1.4812367514606777,0,131175,n/a,29990,0.0,12724,0,23.89,n/a,412333,33912,250956,46218,280115,81969,443236,48412,19.27,30996,1.46,60.86,1.42,19.88,7.97,11.74,5.46,7.52,2.32,6.18,10686,77720,8.42,0,80.73
UNITED KINGDOM,146876,4954331,2,72.52,1.288581504806776,48100,33120,0.0,7.8974635267372015,1.79,32.75,2562,0.0,11.260510111121581,33.73138565865084,13.4,3.04,2035,0.0,8.929658179572,45.58789536615921,0.0,Country/Region,13322,0,4463,11.383886406422308,0,1.4258388244527678,0,20877,n/a,9376,0.0,4630,0,14.21,n/a,105682,11957,57172,15201,46470,25523,113756,15226,22.55,7761,1.74,54.1,1.39,24.15,9.07,14.41,6.38,7.34,3.15,8.14,2624,19684,10.35,0,77.45
ENGLAND,125901,4353829,3,72.75,1.3170051754950318,41412,28658,0.0,6.769646201419841,1.86,32.89,2218,0.0,9.89565200157082,34.581369488725265,13.68,3.32,1679,0.0,7.654435676804204,45.905146241094194,0.0,Country/Region,11448,0,4174,10.00407416641868,0,1.4617679723787254,0,19043,n/a,8286,0.0,3997,0,15.13,n/a,91064,10351,49688,13313,41099,21856,97243,12968,22.76,6552,1.76,54.56,1.33,24.0,9.09,14.24,6.58,7.19,3.17,8.22,2343,17218,10.57,0,77.24
GERMANY (FED REP GER),116548,3891214,4,76.47,1.1621411375570583,46106,23778,0.0,6.266739148085238,1.52,39.56,2235,0.0,8.84419199918977,33.387222431959366,12.53,4.17,1474,0.0,7.085798915498498,45.68506846792739,0.0,Country/Region,9317,0,4864,8.941093794314545,0,1.4112909106631728,0,18523,n/a,9618,0.0,1175,0,15.89,n/a,92128,7579,46676,10752,47798,21152,92770,12507,20.4,11793,1.92,50.66,1.26,22.96,7.99,13.58,8.25,12.8,1.01,6.5,1768,14603,9.23,0,79.6
JAPAN,112743,2726942,5,75.88,0.8096909253789591,23539,22948,0.0,6.0621458263768915,0.84,20.88,2198,0.0,6.1979625429633405,24.187240006031416,8.2,5.53,1622,0.0,6.854465345866485,40.43154917644555,0.0,Country/Region,12631,0,6239,6.265870803727498,0,1.0224040662294032,0,35750,n/a,5608,0.0,572,0,31.71,n/a,88109,4558,39126,6497,45278,24006,89795,15012,20.35,9965,1.95,44.41,1.44,27.25,11.2,17.04,4.97,11.31,0.51,4.04,949,9242,5.76,0,79.65
FRANCE,80560,2663930,6,78.78,1.1612675546176763,33754,19443,0.0,4.331678842792212,1.47,41.9,1722,0.0,6.0547449696679765,33.06765143992055,12.38,4.15,1040,0.0,4.897827166768705,46.773126067527315,0.0,Country/Region,7141,0,3344,6.12108406052413,0,1.397782520221437,0,17817,n/a,9400,0.0,934,0,22.12,n/a,62705,5401,32277,9540,27383,14059,61117,7813,24.13,8556,2.14,51.47,1.29,22.42,8.86,12.46,11.67,13.64,1.16,6.7,1181,9973,11.84,0,75.87
CANADA,77047,2660724,7,74.91,1.2732086349890328,27165,14770,0.0,4.142786243801037,1.72,35.26,1574,0.0,6.047458174454605,34.53377808350747,13.39,2.79,840,0.0,4.684246396698466,46.74842701987099,0.0,Country/Region,6716,0,2150,6.1137174272049215,0,1.4597562651231595,0,12254,n/a,4286,0.0,819,0,15.9,n/a,57109,4857,31474,5640,26774,12377,62277,8762,19.17,4496,2.04,55.11,1.09,21.67,8.72,15.34,5.56,7.87,1.06,6.3,1327,10316,7.32,0,80.83
CHINA MAINLAND,123032,2316402,8,70.88,0.7246882542753105,20822,10337,0.0,6.615381223763797,0.78,16.92,1821,0.0,5.264861823407086,18.827638337993367,7.81,1.2,863,0.0,7.480008341383904,37.899306901456534,0.0,Country/Region,4211,0,1476,5.322546523356927,0,0.7958516138865331,0,35023,n/a,3085,0.0,306,0,28.47,n/a,77343,2490,25444,3442,23259,22726,112695,15609,8.4,13564,1.48,32.9,0.7,29.38,3.42,20.18,2.51,17.54,0.25,2.02,955,9609,2.8,0,91.6
ITALY,66927,2018799,9,76.69,1.0806889192702498,23057,13502,0.0,3.5986379085346867,1.34,34.45,1261,0.0,4.588451306911496,30.164193823120712,11.21,2.53,699,0.0,4.068978137913717,45.20690481121222,0.0,Country/Region,5697,0,1690,4.6387248840255015,0,1.2750522346328104,0,17551,n/a,5453,0.0,524,0,26.22,n/a,51566,3877,27946,5845,20589,12221,53425,7608,20.17,3791,1.88,54.19,1.04,23.7,8.51,14.75,8.15,7.35,0.78,5.79,895,7505,8.73,0,79.83
AUSTRALIA,50154,1686147,10,76.52,1.1802061670056228,16800,9990,0.0,2.696760435469223,1.55,33.5,810,0.0,3.8323792540985493,33.619392271802845,12.68,2.42,419,0.0,3.049225716510894,46.91042220161902,0.0,Country/Region,3998,0,1213,3.8743688931017637,0,1.4211048203218444,0,9152,n/a,3272,0.0,642,0,18.25,n/a,35066,3777,17444,4763,14169,8309,40164,6366,19.92,2947,1.62,49.75,0.84,23.7,7.97,18.15,6.52,8.4,1.28,7.53,776,6358,9.5,0,80.08
NETHERLANDS,38698,1662515,11,78.34,1.4826135665925888,16765,10589,0.0,2.0807759168119793,2.28,43.32,803,0.0,3.7786669819580676,42.96126414801799,15.84,5.66,446,0.0,2.3527323200051553,50.785497930125594,0.0,Country/Region,3942,0,2192,3.8200681199889917,0,1.8159893871452917,0,6684,n/a,3981,0.0,422,0,17.27,n/a,30814,4531,18329,5398,17543,6964,28109,3899,27.36,1622,2.08,59.48,1.15,22.6,10.19,12.65,10.29,5.26,1.09,11.71,881,6129,13.95,0,72.64
SPAIN,52706,1526247,12,75.95,0.9992429780290669,17241,10198,0.0,2.8339804504494333,1.06,32.71,1161,0.0,3.468948638185253,28.957746746101012,10.54,1.99,493,0.0,3.204380320900091,44.25867483019012,0.0,Country/Region,3732,0,1050,3.5069563329827638,1,1.224055246265062,0,10304,n/a,4208,0.0,816,0,19.55,n/a,38291,3254,19989,4812,12645,9819,42508,5049,19.35,3434,2.2,52.2,0.94,25.64,7.08,13.19,7.98,8.97,1.55,6.17,561,5553,9.13,0,80.65
SWITZERLAND,26996,1257584,13,80.11,1.5481972144021339,14769,8174,0.0,1.4515640769615015,2.37,54.71,701,0.0,2.858314744732381,46.584086531337974,16.66,6.86,364,0.0,1.641282797841211,51.40090789376204,0.0,Country/Region,2531,0,1851,2.8896320012801304,0,1.9691275019119872,0,2365,n/a,3630,0.0,942,0,8.76,n/a,21947,3549,13005,4578,14960,5021,18822,2476,30.28,1445,2.6,59.26,1.35,22.88,9.38,11.28,13.45,6.58,3.49,13.15,639,4498,16.96,0,69.72
SWEDEN,24998,1015647,14,81.8,1.3030968637490998,11718,5301,0.0,1.3441324194652398,1.8,46.88,542,0.0,2.3084253581018914,40.629130330426435,13.94,5.93,364,0.0,1.5198098748123645,50.388325870069615,0.0,Country/Region,2286,0,1482,2.333717726373873,0,1.7174091813218024,0,3857,n/a,1742,0.0,194,0,15.43,n/a,20397,1719,10971,2109,10255,5390,19697,2742,21.21,1294,2.17,53.79,1.46,26.43,9.14,13.44,6.97,6.34,0.78,6.88,451,3485,8.44,0,78.79
INDIA,38266,870933,15,80.81,0.770778861129985,7092,4799,0.0,2.0575474503263007,1.04,18.53,797,0.0,1.9795104228218607,22.75996968588303,8.42,1.05,272,0.0,2.326467904215135,42.25069600951236,0.0,Country/Region,1656,0,402,2.0011990195254614,0,0.9620727932704227,0,7228,n/a,1840,0.0,320,0,18.89,n/a,29322,1243,8768,2074,6716,8599,33467,5849,12.54,6106,2.08,29.9,0.71,29.33,4.33,19.95,4.81,20.82,0.84,3.25,399,3221,5.42,0,87.46
SOUTH KOREA,43399,863533,16,73.01,0.7540270052305352,9510,5151,0.0,2.333546798638769,0.78,21.91,648,0.0,1.9626912448496383,19.897532201202793,7.55,4.7,362,0.0,2.6385402334979524,38.73083256526648,0.0,Country/Region,2360,0,2038,1.9841955614586662,0,0.8410764446612073,0,13712,n/a,1734,0.0,146,0,31.6,n/a,29056,1432,12558,1781,15111,8543,38248,5330,11.87,2625,1.49,43.22,0.83,29.4,5.44,18.34,4.0,9.03,0.34,3.3,338,3276,4.1,0,88.13
