Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2300219,46611999,n/a,65.29,0.9707832771140488,334854,447682,n/a,100,1.19,14.56,81566,n/a,100,20.264157021570554,9.81,2.07,30703,n/a,n/a,38.36454336087129,0.0,,152664,n/a,47570,n/a,0,1.0,n/a,535546,n/a,140097,0.0,74268,n/a,23.28,n/a,1504753,147291,708034,182749,462650,354041,1852537,240599,19.46,202079,3.55,47.05,1.33,23.53,6.64,15.99,6.09,13.43,3.23,6.4,27376,225591,7.94,0,80.54
Baseline for All Items,2064488,46084622,n/a,70.65,1.019239053024285,334854,433489,n/a,n/a,1.25,16.22,79407,n/a,n/a,22.322542925897366,10.49,2.3,30139,n/a,100,41.31102999281178,0.0,,144397,n/a,47570,100,0,1.1015776724457733,n/a,535546,n/a,137501,0.0,73573,n/a,25.94,n/a,1404492,144335,665814,179546,458607,339885,1630999,225798,21.0,172995,3.85,47.41,1.46,24.2,6.99,16.08,6.66,12.32,3.56,6.99,25737,216465,8.7,0,79.0
USA,617409,19216404,1,69.9,1.4005164743306302,142003,170903,72.57,26.841313805337663,2.01,23.0,16646,62.76,41.22630312422345,31.124269325520036,14.35,3.53,10697,71.44,29.90615590887426,45.01095018326588,0.0,Country/Region,53472,448070,21792,41.69808314799675,0,1.5359271689609015,387495,147240,n/a,44799,0.0,57522,441047,23.85,n/a,446103,56761,267871,90088,231873,98608,446506,51061,27.68,28563,2.7,60.05,1.73,22.1,8.66,11.45,7.26,6.4,9.32,9.19,12405,88581,14.59,0,72.32
UNITED KINGDOM,173264,5353352,2,71.26,1.3760670860651953,62554,46345,64.06,7.532500166288514,1.92,36.1,5427,50.31,11.484922583989587,30.897081909686953,14.31,3.26,3565,67.02,8.39258934902988,46.01991150729523,0.0,Country/Region,16181,110998,5647,11.616352196617779,0,1.5247158752667573,87175,23512,n/a,15945,0.0,10643,116125,13.57,n/a,118002,15816,65907,21172,39201,29976,126919,15023,26.75,7096,3.13,55.85,2.06,25.4,9.34,12.73,9.2,6.01,6.14,9.13,3334,24788,12.22,0,73.25
ENGLAND,148677,4721110,3,71.59,1.4055786833202177,53627,40038,62.45,6.463601943988811,1.98,36.07,4650,49.04,10.12852935142301,31.754138165284477,14.55,3.54,3126,65.3,7.201640309849222,46.36443372344075,0.0,Country/Region,14004,92846,5268,10.244436853577751,0,1.5670100725869427,72917,21505,n/a,13874,0.0,9066,97080,14.46,n/a,101953,13779,57420,18258,34502,25735,108639,12810,26.93,5988,3.13,56.32,2.1,25.24,9.42,12.56,9.33,5.87,6.1,9.27,2937,21634,12.28,0,73.07
GERMANY (FED REP GER),144175,4191136,4,73.22,1.207521246401942,59179,35333,67.51,6.267881449548934,1.69,41.05,5119,61.57,8.991538852474445,29.069783249523148,12.94,4.72,2961,63.5,6.983571713664599,44.885217034853476,0.0,Country/Region,12196,97333,6802,9.094435015654463,0,1.4345419460863476,88770,23653,n/a,15074,0.0,3643,91544,16.41,n/a,107987,12057,55782,15057,41856,24534,108842,15180,24.51,12491,3.55,51.66,2.05,22.72,8.46,14.06,10.46,11.57,2.53,8.36,2431,18653,10.44,0,75.49
CHINA MAINLAND,208175,3816574,5,69.86,0.7686530087666626,34392,22950,89.43,9.050225217685794,0.87,16.52,6493,79.39,8.187964648330144,18.333488651375045,8.54,1.32,1709,85.27,10.083613951740093,39.50991452383812,0.0,Country/Region,8100,186170,2747,8.28166497709366,0,0.9047249600296536,165263,57908,n/a,5932,0.0,1599,177507,27.82,n/a,120653,7783,46415,6648,31609,30061,185225,27444,11.02,16733,3.12,38.47,0.82,24.92,3.89,22.75,2.85,13.87,0.77,3.74,1811,17781,3.19,0,88.98
CANADA,92091,2963942,6,75.15,1.3311540660868055,35317,21596,66.32,4.003575311742056,1.89,38.35,3142,57.05,6.358753247205724,32.184925779935064,14.04,2.85,1365,67.64,4.460718589790786,47.65692624903629,0.0,Country/Region,8498,61077,2621,6.431520692520816,0,1.5882686728924982,52539,14470,n/a,6898,0.0,2947,62291,15.71,n/a,65803,7453,36337,8591,23868,15636,70495,9616,23.45,4214,3.41,55.22,1.48,23.76,9.23,14.61,7.49,6.4,3.2,8.09,1736,12927,9.33,0,76.55
FRANCE,99717,2926027,7,76.22,1.2121865669845664,43865,28994,64.81,4.335108961364114,1.65,43.99,4096,58.83,6.277411530880707,29.343311571748046,13.11,4.59,1833,64.25,4.830107997721469,46.68735941414202,0.0,Country/Region,9354,64627,4574,6.34924812880097,0,1.4480400808438771,58664,23031,n/a,15095,0.0,2346,64072,23.1,n/a,74270,8237,40026,13711,24739,15744,70723,8563,29.08,9937,4.11,53.89,1.84,21.2,9.38,11.53,15.14,13.38,2.35,8.26,1646,13076,13.75,0,70.92
JAPAN,117839,2538129,8,74.89,0.8369838618793438,26385,28853,80.65,5.122946988960616,0.88,22.39,4443,76.38,5.445226667922996,21.53895569378559,8.43,5.31,1923,75.23,5.7079043326965335,40.78643951832586,0.0,Country/Region,14399,95033,6263,5.507540020616855,0,1.062909040373999,90006,37413,n/a,7814,0.0,1652,88647,31.75,n/a,90670,6719,38617,8088,31609,23274,88986,18625,24.49,10154,3.77,42.59,1.63,25.67,12.22,20.54,6.63,11.2,1.4,5.7,1038,9933,6.86,0,75.51
