Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1375280,37862592,n/a,67.27,0.9865437504362748,167871,168563,n/a,100,1.22,12.21,10567,n/a,100,27.530824268512593,10.0,1.97,11478,n/a,n/a,38.92443477400966,0.0,,87089,n/a,27052,n/a,0,1.0,n/a,263119,n/a,45622,0.0,5840,n/a,19.13,n/a,1048204,49276,517855,59429,625628,220870,1206717,158448,12.26,151031,0.77,49.4,0.83,21.07,6.33,15.12,3.32,14.41,0.42,3.58,16757,137480,4.32,0,87.74
Baseline for All Items,1202287,37613410,n/a,74.5,1.0441366742716174,167871,163419,n/a,n/a,1.29,13.96,10247,n/a,n/a,31.284884557514136,10.83,2.25,11375,n/a,100,42.8124195621345,0.0,,83172,n/a,27052,100,0,1.136358441446852,n/a,263119,n/a,45096,0.0,5669,n/a,21.88,n/a,944604,48357,480107,58625,620801,207264,1038868,140586,13.59,116647,0.85,50.83,0.95,21.94,6.92,14.88,3.75,12.35,0.47,4.02,15491,130199,4.88,0,86.41
USA,441652,17940324,1,70.99,1.3637263075905917,76470,65303,0.0,32.1136059566052,1.94,17.31,2787,0.0,47.382714844245214,40.6209504315615,14.22,3.01,6055,0.0,36.7343238344921,45.032904675626966,0.0,Country/Region,31696,0,13298,47.69661671196523,0,1.4754716399109153,0,94797,n/a,17005,0.0,2574,0,21.46,n/a,347725,20565,216956,24765,339608,67321,376349,35397,14.79,28051,0.63,62.39,1.37,19.36,7.18,10.18,3.85,8.07,0.58,4.66,8589,62816,5.61,0,85.21
UNITED KINGDOM,112308,4338940,2,73.41,1.2587142661252986,31947,20732,0.0,8.166191611889943,1.67,28.45,578,0.0,11.459701438295614,38.63429141290024,13.02,3.06,957,0.0,9.341197234936418,45.36927653061225,0.0,Country/Region,11847,0,3435,11.535619875996353,0,1.4033103780727278,0,15871,n/a,5074,0.0,1750,0,14.13,n/a,90274,7592,51210,7350,52871,20324,91576,11962,18.46,6778,0.51,56.73,0.85,22.51,10.55,13.25,4.52,7.51,1.56,6.76,1874,14622,6.54,0,81.54
ENGLAND,95966,3797925,3,73.66,1.2832560552695746,27482,17876,0.0,6.977924495375487,1.71,28.64,492,0.0,10.030810885847435,39.575735156201155,13.3,3.38,826,0.0,7.981954391921396,45.737788153095885,0.0,Country/Region,10159,0,3241,10.09726318352949,0,1.4375063663264345,0,14487,n/a,4442,0.0,1512,0,15.1,n/a,77354,6603,44211,6399,46464,17306,78090,10078,18.63,5759,0.51,57.15,0.86,22.37,10.59,13.03,4.63,7.44,1.58,6.88,1641,12762,6.67,0,81.37
GERMANY (FED REP GER),93504,3401289,4,79.33,1.086714948023614,32599,14178,0.0,6.798906404513989,1.37,34.86,476,0.0,8.983243936389774,36.37586627310061,11.86,3.5,863,0.0,7.777177994937981,45.78188051527207,0.0,Country/Region,6828,0,3277,9.042756293566576,0,1.3212777764414494,0,13174,n/a,5119,0.0,409,0,14.09,n/a,77036,4157,39640,6011,53016,16114,79326,11846,15.16,9436,0.51,51.46,0.92,20.92,7.3,15.38,5.47,12.25,0.44,4.45,1277,11089,6.43,0,84.84
JAPAN,98113,2651853,5,80.34,0.8059693751082936,17067,17400,0.0,7.134038159502065,0.86,17.4,976,0.0,7.003886580189755,27.028558906566918,8.37,4.95,1110,0.0,8.16053072186591,42.488911879159744,0.0,Country/Region,11442,0,4852,7.0502860548937205,0,0.9817562541154962,0,27295,n/a,3105,0.0,148,0,27.82,n/a,79584,3078,38172,3872,52114,19089,80713,14241,17.73,8082,0.99,47.96,1.13,23.99,11.66,17.89,3.16,10.16,0.15,3.14,844,8211,3.95,0,82.27
FRANCE,63953,2330918,6,81.68,1.0598832345628824,23233,11394,0.0,4.650180326915247,1.32,36.33,477,0.0,6.15625575766181,36.447359779838315,11.66,3.37,759,0.0,5.319279007425016,46.774307725986276,0.0,Country/Region,5732,0,2157,6.197039832336393,0,1.323874629555632,0,12654,n/a,4354,0.0,239,0,19.79,n/a,52961,3102,27249,4426,33292,11257,52559,6017,17.82,8438,0.75,51.45,1.19,21.26,8.96,11.36,6.81,15.93,0.37,4.85,844,7458,6.92,0,82.18
CANADA,52320,2004607,7,76.62,1.2098353058103977,16821,7988,0.0,3.8043162119713805,1.61,32.15,340,0.0,5.294426224173981,38.31435397553517,12.74,2.51,648,0.0,4.351706372937576,46.7586166953364,0.0,Country/Region,4271,0,1312,5.32950083494158,0,1.3916893152870784,0,7634,n/a,2025,0.0,234,0,14.59,n/a,41709,2261,23579,2729,25752,8901,44332,6010,15.27,3219,0.65,56.53,1.24,21.34,8.16,14.41,3.87,7.72,0.45,4.32,844,6667,5.22,0,84.73
ITALY,47478,1645622,8,80.55,1.048551758709297,14901,7401,0.0,3.452242452446047,1.23,31.39,330,0.0,4.346300432891652,34.66072707359198,11.05,2.25,399,0.0,3.9489739138824596,46.683757135936645,0.0,Country/Region,3677,0,1069,4.375093882740225,0,1.2589789079883802,0,11817,n/a,2816,0.0,198,0,24.89,n/a,38800,1927,20864,2995,22037,9211,40077,5501,15.59,3224,0.7,53.77,0.84,23.74,7.74,14.18,5.93,8.31,0.42,4.06,584,5245,6.31,0,84.41
