Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1535955,41408561,n/a,67.58,0.9951037080513426,196605,225466,n/a,100,1.21,12.8,15954,n/a,100,26.959488396469947,10.02,1.98,16522,n/a,n/a,39.12438320823201,0.0,,110114,n/a,30389,n/a,5,1.0,n/a,324643,n/a,66014,0.0,10112,n/a,21.14,n/a,1178234,66990,583042,82876,625180,257336,1310489,178166,14.68,159690,1.04,49.48,1.08,21.84,7.17,15.12,4.3,13.55,0.66,4.36,18611,153903,5.4,0,85.32
Baseline for All Items,1368108,41113255,n/a,73.58,1.0426838506901501,196605,217130,n/a,n/a,1.27,14.37,15248,n/a,n/a,30.05117651530435,10.74,2.22,16117,n/a,100,42.33952211733284,0.0,,104682,n/a,30389,100,5,1.1146790352015443,n/a,324643,n/a,65161,0.0,9804,n/a,23.73,n/a,1076696,64992,544879,81083,620810,243631,1150978,160848,15.87,127338,1.11,50.61,1.18,22.63,7.65,14.94,4.76,11.83,0.72,4.75,17381,146876,5.93,0,84.13
USA,490291,19080643,1,70.37,1.3492252670352913,88949,86195,0.0,31.920922162433147,1.92,18.14,4204,0.0,46.078981107312565,38.91697583679896,14.1,3.04,7909,0.0,35.83715613094873,44.585357070392895,0.0,Country/Region,41171,0,14909,46.4099546484461,4,1.4435353989096735,0,112600,n/a,23513,0.0,4895,0,22.97,n/a,391143,26959,249736,32911,328803,71544,404096,41690,17.58,28173,0.86,63.85,1.61,18.29,8.4,10.66,4.8,7.2,1.0,5.5,9403,69135,6.71,0,82.42
UNITED KINGDOM,119950,4649379,2,73.81,1.2741017790746145,37223,26906,0.0,7.809473584838098,1.72,31.03,1141,0.0,11.228062235729466,38.76097540641934,13.13,3.32,1611,0.0,8.767582676221467,45.66360655856607,0.0,Country/Region,13650,0,3983,11.308710536297843,0,1.4377489229912341,0,17843,n/a,7385,0.0,2823,0,14.88,n/a,97515,9944,53351,10504,55409,24022,93044,13177,22.43,6965,0.95,54.71,1.34,24.63,11.38,13.51,6.16,7.14,2.35,8.29,2062,15749,8.76,0,77.57
ENGLAND,102521,4068962,3,74.02,1.2933097960417865,31887,23174,0.0,6.674739819851492,1.78,31.1,969,0.0,9.826378656336306,39.68905882697204,13.48,3.66,1335,0.0,7.493633543550655,46.03313539177339,0.0,Country/Region,11687,0,3755,9.896959022096402,0,1.4721740354749793,0,16279,n/a,6529,0.0,2468,0,15.88,n/a,83567,8592,46139,9183,48815,20431,79347,11151,22.6,5846,0.95,55.21,1.3,24.45,11.4,13.34,6.37,7.0,2.41,8.38,1824,13820,8.96,0,77.4
GERMANY (FED REP GER),101912,3613404,4,77.68,1.1126738499882252,37302,18690,0.0,6.6350902207421445,1.42,36.6,913,0.0,8.72622451188294,35.45611900463145,11.92,3.64,1196,0.0,7.449119513956501,45.2438294047806,0.0,Country/Region,8559,0,3714,8.788902751679476,0,1.31516290232251,0,15132,n/a,7263,0.0,748,0,14.85,n/a,85002,5348,43379,8022,53129,19009,83222,12209,18.34,10405,0.9,51.03,1.17,22.36,8.4,14.36,7.13,12.24,0.73,5.25,1449,12153,7.87,0,81.66
JAPAN,104017,2840092,5,79.11,0.8215419469894344,19419,20112,0.0,6.772138506661979,0.85,18.67,1186,0.0,6.8587073093411774,27.304113750636915,8.33,4.78,1459,0.0,7.602981635952717,41.711824072026694,0.0,Country/Region,12452,0,4972,6.907971650505415,0,1.0127830821230306,0,30508,n/a,4452,0.0,326,0,29.33,n/a,85320,3624,39392,5015,53190,22381,83905,13668,19.34,9879,1.14,46.17,1.4,26.23,11.97,16.02,4.28,11.58,0.31,3.48,887,8667,4.82,0,80.66
FRANCE,69130,2479061,6,80.78,1.0861736279473455,26584,15022,0.0,4.500782900540706,1.38,38.46,656,0.0,5.986832046638859,35.86085635758715,11.84,3.73,1074,0.0,5.052963654916132,46.768371761897875,0.0,Country/Region,6774,0,2577,6.029833930687317,1,1.3301757003030794,0,14381,n/a,6507,0.0,502,0,20.8,n/a,57724,3954,30045,6518,30551,12556,54108,7197,21.73,7926,0.95,52.05,1.55,21.75,9.8,12.47,9.41,13.73,0.73,5.72,951,8183,9.43,0,78.27
CANADA,61234,2372260,7,75.76,1.235930700264559,20521,11130,0.0,3.986705339674665,1.66,33.51,885,0.0,5.728911951323303,38.74089558088644,13.11,2.67,880,0.0,4.475816236729849,46.420777873403665,0.0,Country/Region,5568,0,1636,5.770061261264767,0,1.4370041082070066,0,9376,n/a,2941,0.0,397,0,15.31,n/a,49319,3461,28340,3797,28193,9801,50104,6981,18.18,4197,1.45,57.46,1.44,19.87,9.09,14.15,4.8,8.51,0.65,5.65,1017,8027,6.2,0,81.82
ITALY,56233,1852002,8,78.83,1.0217088168868813,17806,10687,0.0,3.6611098632446915,1.17,31.66,490,0.0,4.472509923732921,32.93443351768534,10.86,2.29,665,0.0,4.110274919816272,45.89599405687053,0.0,Country/Region,5000,0,1286,4.504634819111257,0,1.221626799193925,0,14604,n/a,4351,0.0,291,0,25.97,n/a,46640,2764,25392,4532,21452,11123,45546,6340,19.0,3785,0.87,54.44,1.18,23.85,8.89,13.59,7.74,8.12,0.52,4.92,656,6108,8.06,0,81.0
