Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2726510,44459297,n/a,67.92,0.964883070922168,453735,697980,n/a,100,1.17,16.64,230512,n/a,100,16.30630256261668,9.74,1.94,61244,n/a,n/a,39.05901178297531,0.53,,174878,n/a,52831,n/a,14416,1.0,n/a,708177,n/a,251581,0.0,100222,n/a,25.97,n/a,1866727,293767,914399,231346,272974,431345,2028530,281095,25.6,239888,8.45,48.98,2.25,23.11,6.41,15.06,9.23,12.85,3.68,10.77,31778,265693,8.49,0,74.4
Baseline for All Items,2518908,44090709,n/a,72.02,0.9940915712284848,453735,682862,n/a,n/a,1.2,18.01,227548,n/a,n/a,17.50389811775579,10.19,2.1,60124,n/a,100,41.22701038017268,0.57,,166375,n/a,52831,100,14356,1.073443722176766,n/a,708177,n/a,249530,0.0,99054,n/a,28.11,n/a,1774499,289796,866672,228815,270591,420070,1836046,269489,27.11,218268,9.03,48.84,2.39,23.67,6.61,15.19,9.91,12.3,3.93,11.5,30180,256760,9.08,0,72.89
USA,702046,16589042,1,70.32,1.326662291074944,187906,227314,74.87,25.748887772280316,1.97,26.77,45779,65.69,37.312875190086785,23.62956558402156,14.02,3.36,18873,68.84,27.871045707108,44.45705900525037,1.02,Country/Region,58146,525649,23564,37.62480208698844,7151,1.4491062883988162,461163,173710,n/a,67774,0.0,68701,483257,24.74,n/a,528029,94051,324485,104516,137375,112181,474732,58909,32.38,32454,6.52,61.45,2.69,21.25,8.28,11.16,9.65,6.15,9.79,13.4,13824,98403,14.89,0,67.62
CHINA MAINLAND,327134,6196805,2,76.22,0.8964604064389515,62910,65318,89.88,11.998268849188158,1.15,19.23,30138,81.34,13.93815336306375,18.94271154939566,9.74,1.63,7761,85.9,12.987135695309238,42.815608223541425,0.66,Country/Region,15335,294025,5339,14.054673060485372,2150,1.1616803672478844,266076,99392,n/a,24628,0.0,3709,281001,30.38,n/a,224735,28153,95188,12084,34221,57748,261816,42785,19.97,29014,9.21,42.36,2.37,25.7,4.69,19.04,7.53,12.91,1.13,8.61,3775,31862,3.69,0,80.03
UNITED KINGDOM,208109,4999306,3,70.92,1.4075946143607436,84380,70817,64.06,7.632797972499643,2.08,40.55,15299,51.51,11.24468072448379,24.022536267052363,14.71,3.4,9028,62.99,8.261873796105297,45.8020982677347,1.1,Country/Region,18970,133308,7082,11.33868362153124,2296,1.4732056010125607,107202,29595,n/a,26077,0.0,19750,131086,14.22,n/a,148822,31743,90399,27520,23448,32445,137292,17242,34.03,8736,7.35,60.74,4.34,21.8,9.12,11.59,12.53,5.87,9.49,15.25,4330,30615,13.22,0,65.97
ENGLAND,180667,4414698,4,71.11,1.4293293827871167,73336,62005,62.44,6.626309824647627,2.15,40.59,13276,50.13,9.929752150601932,24.435552701932284,14.89,3.63,8031,61.26,7.17243345132097,46.06606243863019,1.13,Country/Region,16735,112803,6560,10.012762552763666,2044,1.4985342390219394,90573,27115,n/a,22935,0.0,16999,110680,15.01,n/a,129535,28008,79121,23963,21185,28240,118662,14881,34.32,7293,7.35,61.08,4.45,21.8,9.26,11.49,12.69,5.63,9.41,15.5,3877,26899,13.26,0,65.68
GERMANY (FED REP GER),162658,4117342,5,76.33,1.2788520189600265,73302,51947,67.63,5.965795100696495,1.83,45.07,14336,61.94,9.260924661044461,25.312877325431273,13.87,5.09,4836,62.88,6.457480781354461,47.021478898670836,1.05,Country/Region,13712,110005,8282,9.338343822051035,1706,1.552337032152389,100753,28093,n/a,24013,0.0,6316,102285,17.27,n/a,126368,23541,69706,19063,23787,28560,110711,13966,31.94,14136,8.81,55.16,2.97,22.6,8.43,11.05,14.76,11.19,3.88,14.47,2972,22559,11.72,0,68.06
FRANCE,112935,2812554,6,77.25,1.2651794271040864,54492,40762,65.7,4.142108409651899,1.79,48.25,9903,59.03,6.326132417253472,24.904183822552795,13.33,5.03,3393,61.44,4.483490464915749,47.18551567007571,1.06,Country/Region,9874,74200,5678,6.379017402509903,1197,1.5272735021884942,66670,28018,n/a,22535,0.0,3756,69386,24.81,n/a,86723,15518,49377,17592,15091,18812,72173,9634,36.09,8900,8.77,56.94,3.0,21.69,8.74,11.11,19.95,10.26,3.33,13.74,2018,15051,15.58,0,63.91
CANADA,106281,2677232,7,76.42,1.3525426068629387,45581,31308,67.07,3.8980601574907117,1.94,42.89,9168,58.61,6.021759633311341,25.190128056755206,14.04,3.08,2718,64.11,4.2193283756294395,47.48962399299969,1.1,Country/Region,9249,71279,3271,6.072100133386379,1172,1.5448093128423428,62296,18075,n/a,11066,0.0,4449,68137,17.01,n/a,80527,14503,46657,10173,12562,17876,74973,10850,29.46,5144,8.63,57.94,2.56,22.2,8.7,13.47,10.41,6.39,4.19,13.65,2065,14919,9.57,0,70.54
ITALY,103190,2413383,8,78.37,1.2330402946021901,41131,33031,73.27,3.7846917854693367,1.59,39.86,10234,64.44,5.428297707901229,23.387760441903286,13.29,3.05,2742,68.11,4.096616470311738,47.855239285783504,0.87,Country/Region,7974,75612,3143,5.473677005284719,894,1.4342773508644036,66497,25200,n/a,15829,0.0,3045,70280,24.42,n/a,77909,15280,42381,12081,10767,19575,70159,10327,32.01,5626,9.92,54.4,2.66,25.13,7.73,13.26,15.34,7.22,2.95,14.81,1640,13715,11.71,0,67.99
