Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,3100007,38057173,n/a,67.49,0.9689014613192809,591112,1003697,n/a,100,1.13,19.07,397564,n/a,100,12.276479698271649,9.73,2.04,95845,n/a,n/a,38.97972211343394,0.52,,237881,n/a,63098,n/a,16005,1.0,n/a,870359,n/a,344067,0.0,142430,n/a,28.08,n/a,2081215,426320,1003063,272407,112871,518219,2096310,303316,32.38,256617,12.82,48.2,3.09,24.9,7.67,14.57,11.1,12.33,4.59,13.75,35018,301619,8.79,0,67.62
Baseline for All Items,2896583,37832693,n/a,71.18,0.9960156742617078,591112,978605,n/a,n/a,1.16,20.41,391755,n/a,n/a,13.061145839770516,10.13,2.18,94740,n/a,100,40.92303056194144,0.55,,222763,n/a,63098,100,15962,1.0639162170902574,n/a,870359,n/a,340490,0.0,141719,n/a,30.05,n/a,1983852,419878,944941,269347,112240,506209,1917978,295945,33.78,236757,13.52,47.63,3.27,25.52,7.69,14.92,11.75,11.93,4.89,14.5,33585,293295,9.3,0,66.22
USA,777264,13198307,1,69.42,1.344883583827374,237957,297235,81.54,25.072975641667906,1.97,30.61,74714,65.93,34.68020864292784,16.98046866958974,13.92,3.61,29609,69.05,26.83382454429927,43.849274159358984,0.96,Country/Region,93233,633801,28047,34.885983400652975,7500,1.3831708345496099,512431,201731,n/a,88914,0.0,72778,536672,25.95,n/a,571800,120605,343661,99679,53959,133234,480029,61934,38.24,32971,9.61,60.1,3.81,23.3,12.0,10.83,11.44,5.77,9.36,15.52,15342,108207,12.82,0,61.76
CHINA MAINLAND,437744,7502278,2,78.56,0.9876927608373844,99347,116703,92.21,14.12074230800124,1.25,22.7,64064,81.73,19.713177329277716,17.13850561058518,10.87,2.07,9525,89.53,15.112427297957629,45.00546786774919,0.8,Country/Region,24024,403665,9081,19.83014531902342,3515,1.3960439826245985,357756,147583,n/a,40848,0.0,7187,391913,33.71,n/a,323662,57407,144048,19090,19993,86097,321041,53475,26.66,40042,14.64,44.51,2.18,26.6,5.49,16.52,9.33,12.37,1.64,13.11,5473,47582,4.36,0,73.34
UNITED KINGDOM,233071,4327852,3,71.32,1.4582785966508063,111558,123832,70.86,7.518402377801083,2.2,47.86,26671,50.84,11.371974476401597,18.568813794938023,15.4,3.88,20607,62.53,8.046411927433116,46.60554190396918,1.17,Country/Region,21901,165146,9048,11.439450001616327,2731,1.5125519897656203,118500,32654,n/a,49842,0.0,52402,145734,14.01,n/a,165599,54034,99102,54653,11653,39433,109239,17259,53.13,9805,11.44,59.84,8.84,23.81,9.4,10.42,21.38,5.92,22.48,23.18,5132,35902,23.45,0,46.87
ENGLAND,203866,3876707,4,71.44,1.4904928506960455,97746,108574,69.24,6.5763077309180265,2.28,47.95,23450,49.42,10.18653434925395,19.01595655970098,15.67,4.12,18348,60.92,7.038154957064928,46.856918414056295,1.23,Country/Region,19414,141147,8400,10.246976074370387,2505,1.5489747083097571,100760,30111,n/a,44799,0.0,44565,124198,14.77,n/a,145545,48119,87595,47362,10466,34499,95292,14985,53.26,8466,11.5,60.18,9.0,23.7,9.52,10.3,21.97,5.82,21.86,23.6,4645,31954,23.23,0,46.74
GERMANY (FED REP GER),184976,3462804,5,75.91,1.3212206426779691,90843,72716,72.05,5.966954268167782,1.95,49.11,24275,60.28,9.098952252706736,18.72028803736701,14.03,5.41,9569,64.92,6.386007236802812,47.2016272235317,1.05,Country/Region,16963,133284,9998,9.152940817615072,1940,1.5248905628868963,111499,31389,n/a,31513,0.0,10714,120095,16.97,n/a,138269,34328,75798,21909,11679,32645,112260,14396,39.31,15430,13.12,54.82,5.17,23.61,9.17,10.41,17.04,11.16,5.79,18.56,3600,25959,11.84,0,60.69
FRANCE,124441,2306752,6,77.03,1.2853052088941748,67416,55483,67.61,4.014216742091228,1.84,54.18,15361,57.48,6.061280484496312,18.53691307527262,13.38,5.55,5227,62.59,4.296130992966541,47.15778563254876,1.05,Country/Region,12746,84138,6908,6.097245046764184,1305,1.5099534663737806,71523,29317,n/a,29590,0.0,6786,77891,23.56,n/a,93086,22260,52564,22149,7206,21801,68958,10244,44.59,8477,12.34,56.47,4.2,23.42,10.24,11.0,23.78,9.11,5.45,17.89,2288,16656,17.8,0,55.41
CANADA,118383,2259730,7,75.88,1.4013172609242883,57240,42626,70.29,3.8187978285210327,2.1,48.35,13878,57.8,5.937724276051718,19.088298150916938,14.27,3.42,4275,63.5,4.086988013117525,47.38610564608094,1.14,Country/Region,12489,83210,4051,5.972955718484011,1348,1.554867406623439,68425,20381,n/a,14216,0.0,7025,75173,17.22,n/a,88966,19623,50136,11984,6581,22352,75757,10619,36.01,5859,11.72,56.35,3.61,25.12,10.55,11.94,12.01,6.59,5.93,16.58,2491,16896,10.12,0,63.99
AUSTRALIA,110245,2243333,8,77.45,1.4226650233570683,52939,41478,72.6,3.5562822922657915,2.17,48.02,12784,58.98,5.894639099966779,20.348614449634905,15.08,2.35,3617,64.71,3.8060362848224965,49.31015468093791,1.25,Country/Region,9915,80034,2593,5.929614896830104,1380,1.6575284568343884,65017,23083,n/a,16024,0.0,8232,71342,20.94,n/a,83285,20256,44527,15162,5178,21841,68767,12346,37.62,4571,11.6,53.46,3.28,26.22,8.99,14.82,14.53,5.49,7.47,18.37,2393,16622,13.75,0,62.38
ITALY,122376,2162356,9,76.29,1.2894657539059946,54356,48591,76.11,3.9476039892813146,1.73,44.42,16441,63.86,5.681861866092891,17.669771850689678,13.66,3.19,4712,68.06,4.22484009607182,47.592230991370855,0.93,Country/Region,10518,93145,3903,5.7155751508358135,1136,1.4393191114206239,78145,30089,n/a,23307,0.0,5922,83284,24.59,n/a,89700,23756,48693,16920,5918,23437,73785,12184,39.71,5386,13.43,54.28,3.85,26.13,8.59,13.58,19.05,6.0,4.84,19.41,2116,16717,13.83,0,60.29
