Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2153779,45996443,n/a,65.67,0.9653904275229724,306409,391258,n/a,100,1.18,14.23,65168,n/a,100,21.356157247331318,9.79,2.1,25194,n/a,n/a,38.35649660837997,0.0,,137696,n/a,45288,n/a,1,1.0,n/a,493739,n/a,123476,0.0,60593,n/a,22.92,n/a,1400104,125142,656574,163200,514514,318367,1762521,234247,18.17,190916,3.03,46.89,1.17,22.74,6.39,16.73,5.73,13.64,2.81,5.81,25433,210829,7.58,0,81.83
Baseline for All Items,1922426,45490150,n/a,71.3,1.0136982490873512,306409,378150,n/a,n/a,1.24,15.94,63154,n/a,n/a,23.662887414131934,10.48,2.36,24727,n/a,100,41.42799605862592,0.0,,130562,n/a,45288,100,1,1.1080124172193415,n/a,493739,n/a,121189,0.0,59686,n/a,25.68,n/a,1300048,122203,614864,159707,510172,307699,1544276,219929,19.67,157556,3.29,47.3,1.29,23.67,6.79,16.92,6.3,12.12,3.1,6.36,23771,201403,8.31,0,80.33
USA,587772,19351122,1,70.86,1.3819119743710147,130869,146973,73.04,27.29026515719579,2.01,22.27,13400,62.98,42.070909700560975,32.92283742675731,14.35,3.58,9147,72.39,30.57449285434134,45.37287088241699,0.0,Country/Region,48239,429337,21049,42.53914748577439,0,1.541608682005344,370191,140814,n/a,39292,0.0,46072,425500,23.96,n/a,428633,46496,256151,76187,262114,88134,440799,55788,25.01,28560,2.28,59.76,1.56,20.56,8.21,13.02,6.68,6.66,7.84,7.91,11819,84355,12.96,0,74.99
UNITED KINGDOM,163526,5150571,2,71.66,1.306054630456319,57816,41518,65.21,7.592515295209025,1.85,35.36,4550,51.21,11.19775935717464,31.496954612722135,14.05,3.24,2919,67.8,8.506231189132897,45.820024525763486,0.0,Country/Region,14862,106643,5296,11.322387373969969,0,1.4748418569852035,83736,22358,n/a,14001,0.0,8971,110865,13.67,n/a,112329,14264,59814,19187,42314,28587,122008,15557,25.39,8371,2.78,53.25,1.79,25.45,9.09,13.85,8.56,7.45,5.49,8.72,3021,22974,11.73,0,74.61
ENGLAND,140200,4494017,3,71.95,1.3328541233951499,49727,36036,63.57,6.509488670843202,1.9,35.47,3971,49.99,9.770357677440405,32.05432952924394,14.33,3.5,2549,65.85,7.292868490126538,46.14702954136947,0.0,Country/Region,12868,89125,4914,9.87909910167366,0,1.500940883606271,70090,20457,n/a,12253,0.0,7605,92328,14.59,n/a,96925,12537,52050,16648,37416,24535,104164,13315,25.7,7025,2.83,53.7,1.82,25.31,9.18,13.74,8.74,7.25,5.42,8.94,2665,20094,11.87,0,74.3
GERMANY (FED REP GER),135698,4167391,4,73.56,1.2330933167769607,53794,30879,67.73,6.300460725079035,1.6,39.64,4101,62.01,9.060246245562945,30.71077687217203,12.97,4.36,2413,63.36,7.0586852237745425,44.78915260652331,0.0,Country/Region,10763,91914,5922,9.161084322650067,0,1.438029160232451,84153,22502,n/a,13246,0.0,2871,85974,16.58,n/a,100884,10295,49650,13602,44221,22729,104819,14699,22.76,13806,3.02,49.21,1.78,22.53,7.93,14.57,9.76,13.69,2.12,7.59,2175,17597,10.02,0,77.24
CHINA MAINLAND,175983,3272027,5,70.41,0.7523177875135667,28728,18627,89.18,8.170894042517826,0.8,16.32,5025,79.05,7.113652244805103,18.59285840109556,8.27,1.28,1704,84.76,9.154214518530232,39.416354509242375,0.0,Country/Region,6583,156938,2254,7.192825259973862,0,0.8706087984728124,139113,47946,n/a,4742,0.0,1086,149164,27.24,n/a,102046,5968,37438,5315,28648,26478,157356,22211,10.58,15919,2.86,36.69,0.97,25.95,3.74,21.77,2.69,15.6,0.62,3.39,1405,14558,3.02,0,89.42
FRANCE,93993,2886141,6,77.43,1.2073383145553391,40457,25742,65.53,4.364096780588909,1.61,43.04,3136,59.75,6.274704763583566,30.70591427021161,12.87,4.52,1364,65.58,4.889290927193037,46.590097903035335,0.0,Country/Region,8546,61594,4245,6.344540521409579,0,1.437801469365405,56157,21637,n/a,13454,0.0,1898,61637,23.02,n/a,68791,7110,35553,12696,26035,15526,68251,8604,27.39,9108,3.34,51.68,1.45,22.57,9.09,12.51,14.31,13.24,2.02,7.56,1512,12096,13.51,0,72.61
CANADA,87489,2840636,7,75.47,1.3220698362079806,32553,19135,67.03,4.062115936686169,1.87,37.21,2732,57.18,6.175773200549442,32.468493182000024,13.79,2.83,1157,68.04,4.5509684117880225,47.49294351175576,0.0,Country/Region,7551,58646,2479,6.244507876979961,0,1.5203340566363976,50025,13778,n/a,6144,0.0,2271,59529,15.75,n/a,62284,6603,34372,7695,25744,13394,68354,9643,21.87,4875,3.12,55.19,1.32,21.5,8.63,15.48,7.02,7.83,2.6,7.55,1636,12069,8.8,0,78.13
JAPAN,114872,2594362,8,76.21,0.8397472499825893,25168,27249,81.45,5.333509148338804,0.85,21.91,3425,77.41,5.640353537772476,22.58480743784386,8.33,5.46,1868,76.21,5.975366542067159,41.00836505240616,0.0,Country/Region,14547,93559,6267,5.703129138945464,0,1.0575314264773021,88920,36590,n/a,7021,0.0,1352,87544,31.85,n/a,87788,5805,36822,7409,38624,23045,87623,17707,23.72,10214,2.98,41.94,1.63,26.25,12.66,20.17,6.11,11.63,1.18,5.05,973,9572,6.45,0,76.28
