Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,3256562,30877305,n/a,67.48,0.970911070171549,665159,1180360,n/a,100,1.14,20.43,537849,n/a,100,9.481565221236384,9.62,1.98,114104,n/a,n/a,38.79199909760662,0.54,,231962,n/a,64471,n/a,17439,1.0,n/a,966471,n/a,400838,0.0,156878,n/a,29.68,n/a,2235888,527101,1051361,296445,42421,569448,2076202,345853,36.25,269226,16.52,47.02,3.5,25.47,7.12,15.47,12.31,12.04,4.82,16.19,37023,313184,9.1,0,63.75
Baseline for All Items,3077470,30722801,n/a,70.61,0.9921889293478084,665159,1154919,n/a,n/a,1.16,21.61,532318,n/a,n/a,9.983135822607531,9.94,2.09,112732,n/a,100,40.444061127842026,0.56,,216860,n/a,64471,100,17384,1.0528995571583215,n/a,966471,n/a,396709,0.0,155836,n/a,31.4,n/a,2150584,520505,1002841,293009,42111,560834,1922551,338555,37.53,248354,17.3,46.63,3.66,26.08,7.05,15.74,12.89,11.55,5.06,16.91,35656,305831,9.52,0,62.47
USA,810754,9960981,1,68.19,1.3301661074752638,261957,321858,80.4,24.896009963882154,1.94,32.31,94177,66.6,32.25987825038487,12.286070744023464,13.49,3.58,35484,67.03,26.344822207852552,42.83904155687175,0.95,Country/Region,89140,651862,29035,32.422112163536134,7735,1.2957850795041388,540002,217519,n/a,98083,0.0,72784,543450,26.83,n/a,613915,138435,351110,103057,18997,152335,488896,73102,39.7,37368,11.62,57.19,4.38,24.81,10.99,11.91,12.1,6.09,8.98,17.07,15720,109408,12.71,0,60.3
CHINA MAINLAND,519413,7866937,2,83.1,1.0892113050693766,129825,165806,91.93,15.949734720235634,1.51,24.99,104158,83.07,25.478055808303218,15.145822303253865,12.59,2.16,12428,89.42,16.87792244928464,48.3506812971566,1.01,Country/Region,23814,477480,11209,25.60618414968088,5253,1.5973968379536043,431484,189452,n/a,56862,0.0,10152,464481,36.47,n/a,414269,85621,192865,25406,9918,109277,353607,68335,31.92,43792,20.05,46.56,2.39,26.38,4.58,16.5,10.95,10.57,1.95,16.48,7840,65411,4.89,0,68.08
UNITED KINGDOM,241700,3330860,3,71.15,1.4668161770790238,124787,144637,68.16,7.42193761396221,2.23,51.63,33617,50.9,10.787405183191993,13.780968142325197,15.14,4.07,24737,59.97,7.853853977455508,46.24529914522135,1.16,Country/Region,22138,164742,9848,10.841654704595456,2807,1.4534486470081125,123015,33616,n/a,58819,0.0,60700,144956,13.91,n/a,178037,63281,103760,64145,4118,44915,97063,19751,59.84,9611,13.91,58.28,10.23,25.23,9.16,11.09,24.34,5.4,25.11,26.18,5396,36591,26.54,0,40.16
ENGLAND,211899,2982351,4,71.22,1.4996211473390626,109589,126766,66.62,6.50683143757128,2.31,51.72,29417,49.49,9.658715357444569,14.074398652188071,15.48,4.32,22174,58.43,6.885493603511976,46.50983239703822,1.21,Country/Region,19614,141173,9162,9.707288733211533,2568,1.4843961227693572,104873,31053,n/a,53084,0.0,51130,123813,14.65,n/a,156736,56312,91798,55561,3755,39295,85133,17259,59.82,8384,13.88,58.57,10.46,25.07,9.26,11.01,25.05,5.35,24.13,26.57,4903,32812,26.22,0,40.18
GERMANY (FED REP GER),190177,2609165,5,75.65,1.3023048071007537,97622,82560,70.44,5.839808976460451,1.91,51.33,29796,59.26,8.45010599208707,13.719666416022967,13.62,5.47,11928,64.16,6.1796540664896815,46.67573184717395,1.03,Country/Region,15940,133957,10397,8.492601309366291,1968,1.4469832876637578,112703,32806,n/a,34878,0.0,12546,122014,17.25,n/a,143848,41966,75829,24896,3765,36177,107617,15896,43.41,15946,15.67,52.71,6.27,25.15,8.38,11.05,18.34,11.09,6.6,22.07,3640,25897,13.09,0,56.59
AUSTRALIA,116421,1848654,6,77.86,1.4844704769758033,61161,48732,69.02,3.5749664830578993,2.39,52.53,16754,58.35,5.98709634794876,15.879042440796763,15.64,2.32,4562,62.15,3.783010069960065,49.71283818984548,1.38,Country/Region,9639,80349,2696,6.017205267189017,1604,1.6747279663521797,67933,23517,n/a,18290,0.0,10633,72354,20.2,n/a,90643,24917,48549,17777,1775,23153,67689,13195,41.86,5746,14.39,53.56,3.92,25.54,8.28,14.56,15.71,6.34,9.13,21.4,2788,18212,15.27,0,58.14
FRANCE,124953,1740553,7,76.02,1.3121180203756613,71291,61880,64.97,3.8369605737584607,1.94,57.05,18474,55.54,5.636997788505182,13.929661552743832,12.75,5.59,6237,59.9,4.060250790422002,46.04438503997503,1.06,Country/Region,11731,81183,6991,5.665346073100562,1325,1.469131016632655,69393,27799,n/a,32505,0.0,7971,74851,22.25,n/a,95233,26391,52177,25438,2228,23146,63073,11546,49.52,8364,14.78,54.79,4.99,24.3,9.39,12.12,26.01,8.78,6.38,21.12,2428,15930,20.36,0,50.48
CANADA,125391,1733560,8,75.5,1.4001051447073556,63689,48931,68.77,3.8504103407212877,2.12,50.79,17810,57.92,5.614350086576533,13.825234665964862,13.98,3.57,5310,62.04,4.074483260600428,46.73007066376375,1.09,Country/Region,12648,86229,4472,5.642584476591181,1370,1.4581173406896704,72623,21923,n/a,15889,0.0,7745,77794,17.48,n/a,96289,23390,53171,13163,2122,25181,76460,12054,39.02,5883,14.2,55.22,4.23,26.15,10.09,12.52,12.67,6.11,6.18,18.65,2653,17529,10.5,0,60.98
