Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2857792,43268708,n/a,68.07,0.963238152601729,501548,787470,n/a,100,1.16,17.55,290207,n/a,100,15.140607853895595,9.71,2.01,75491,n/a,n/a,39.20524841933913,0.52,,179266,n/a,57446,n/a,14846,1.0,n/a,767741,n/a,281380,0.0,112989,n/a,26.86,n/a,1928999,340331,945069,242506,207471,446129,2070322,294073,27.56,243728,10.15,48.99,2.64,23.13,6.27,15.24,9.85,12.63,3.95,11.91,33067,277504,8.49,0,72.44
Baseline for All Items,2658231,42898542,n/a,71.95,0.993784682670543,501548,771650,n/a,n/a,1.19,18.87,285965,n/a,n/a,16.138003807795485,10.14,2.16,74400,n/a,100,41.271144567308106,0.56,,171118,n/a,57446,100,14788,1.065875555560556,n/a,767741,n/a,278287,0.0,111760,n/a,28.88,n/a,1840087,335267,898522,240167,205971,433695,1886581,284447,29.03,223423,10.76,48.83,2.8,23.57,6.44,15.46,10.47,12.14,4.2,12.61,31617,269560,9.03,0,70.97
USA,733193,15745245,1,69.93,1.338330853813389,205065,244636,74.83,25.655925973618793,1.99,27.97,54884,66.04,36.389450315918836,21.474898150964343,13.93,3.41,23269,68.37,27.581989676593192,44.23262017067812,1.0,Country/Region,61822,548646,24977,36.70345020117467,7306,1.4183643324094792,484219,184996,n/a,72676,0.0,68717,501271,25.23,n/a,542828,106063,331047,104661,101107,118356,488557,62534,33.37,30891,7.49,60.99,3.17,21.8,8.43,11.52,9.91,5.69,9.37,14.47,14573,102109,14.27,0,66.63
CHINA MAINLAND,360948,6917521,2,78.79,0.9053195859237342,74910,79107,89.61,12.630310393478602,1.15,20.75,39474,81.89,15.987352800088232,19.164868623735273,10.1,1.86,9032,87.68,13.578503899773947,44.38174414458593,0.72,Country/Region,16307,323448,6702,16.125305610619588,2590,1.2657925499869715,295588,115191,n/a,31475,0.0,4419,316493,31.91,n/a,256116,36805,113897,14294,27823,63173,281841,48534,21.92,30512,10.94,44.47,2.5,24.67,4.52,18.95,8.72,11.91,1.22,10.2,4146,36455,3.96,0,78.08
UNITED KINGDOM,212777,4758675,3,70.96,1.4174158057496815,92635,85263,64.13,7.445503381631694,2.13,43.54,19082,51.51,10.997959541569857,22.364611776648793,14.94,3.57,13114,61.23,8.004458604237179,45.97741343096293,1.14,Country/Region,18665,136445,7595,11.092859519561294,2420,1.477127734399019,109592,29910,n/a,31699,0.0,29145,130290,14.06,n/a,150966,38270,90045,34402,18908,34351,127514,16888,40.07,9682,8.97,59.65,6.16,22.75,8.77,11.19,14.9,6.41,13.7,17.99,4530,31796,16.17,0,59.93
ENGLAND,185453,4229233,4,70.93,1.446638295956388,80564,74573,62.63,6.489380612724789,2.22,43.44,16633,50.13,9.774345469247661,22.804877785746253,15.21,3.8,11746,59.51,6.976556965891978,46.13328629517991,1.19,Country/Region,16531,116149,7044,9.858687038827567,2201,1.5062062240703686,92961,27554,n/a,27845,0.0,25036,110370,14.86,n/a,132082,33795,79203,29663,16863,29942,110880,14623,40.21,8314,8.97,59.97,6.33,22.67,8.91,11.07,15.01,6.29,13.5,18.22,4116,28209,15.99,0,59.79
GERMANY (FED REP GER),171370,3941403,5,75.83,1.3100629054093482,79321,58111,67.33,5.996587575302891,1.96,46.29,17738,61.77,9.109130321154955,22.9993756200035,13.93,5.08,6574,62.53,6.4467685464506275,46.897498052167826,1.05,Country/Region,14324,115391,8712,9.187731834802218,1806,1.5190523288063291,105852,29748,n/a,25415,0.0,7654,107158,17.36,n/a,130212,26936,72589,19475,19159,28258,113259,14743,33.91,14622,10.35,55.75,3.84,21.7,8.36,11.32,14.83,11.23,4.47,15.72,3360,23871,11.36,0,66.09
FRANCE,117693,2611177,6,77.02,1.2849759280500965,59256,44981,65.02,4.118319317850984,1.84,50.35,11678,58.52,6.034793088806811,22.186340733943396,13.23,5.31,3726,60.36,4.42749332168649,47.206353483214805,1.02,Country/Region,10690,76519,6245,6.086866541991101,1196,1.4653533694312657,68871,28953,n/a,23836,0.0,4482,71043,24.6,n/a,87446,17382,49905,18887,11404,19070,72712,9698,38.22,8773,9.92,57.07,3.17,21.81,9.08,11.09,20.25,10.03,3.81,14.77,2162,15572,16.05,0,61.78
CANADA,112088,2571608,7,75.75,1.3824545330454643,49660,34869,66.72,3.9221888786867622,2.04,44.3,10908,58.75,5.943343628379197,22.94275926058097,14.02,3.27,3365,62.79,4.216638809794935,47.23708221754336,1.08,Country/Region,9776,74780,3668,5.994627975934474,1211,1.515312957179452,65856,19211,n/a,11946,0.0,5114,70376,17.14,n/a,83658,16527,47591,10820,9848,19444,77219,10968,31.11,5655,9.73,56.89,3.0,23.24,8.72,13.11,10.66,6.76,4.56,14.74,2289,15711,9.65,0,68.89
AUSTRALIA,97544,2387260,8,78.3,1.3977994986877718,42460,32405,68.48,3.413264506304168,2.1,43.53,9449,58.88,5.517289769780046,24.473673419174936,15.0,2.23,2630,64.79,3.6695080299642884,49.79422848253096,1.19,Country/Region,7606,66794,2171,5.564897753401503,1164,1.6164260811284399,57430,20300,n/a,12825,0.0,5185,63200,20.81,n/a,72790,15682,39069,12720,6919,18128,65139,9796,33.22,5797,9.69,53.67,2.7,24.9,7.8,13.46,13.15,7.96,5.32,16.08,2048,14636,13.04,0,66.78
ITALY,111442,2380783,9,76.85,1.254887574702536,46058,36970,73.32,3.899584014511903,1.76,41.33,12950,64.94,5.502320522258256,21.36342671524201,13.45,3.09,3525,66.85,4.192336933848112,47.46961187433823,0.89,Country/Region,8141,81714,3447,5.549799338168649,994,1.4110019175845254,72373,27557,n/a,17291,0.0,3838,74501,24.73,n/a,82005,17442,44108,12354,8841,20387,74472,11629,33.17,5881,11.62,53.79,3.16,24.86,7.31,14.18,15.52,7.17,3.44,15.65,1957,14991,11.09,0,66.83
JAPAN,126903,2030502,10,75.51,0.8450404048761653,32010,42682,81.41,4.4405960965668605,0.9,25.22,16369,77.73,4.692772430366999,16.000425521855274,8.07,5.07,4040,73.0,4.7739643394422835,40.05411151588221,0.56,Country/Region,13138,103312,6439,4.733265759941212,715,1.0567888473340554,98646,40899,n/a,13826,0.0,2594,92643,32.23,n/a,96840,16724,45338,9135,10840,23540,84221,17919,33.63,10043,12.9,46.82,3.18,24.31,10.35,18.5,10.89,10.37,2.04,13.18,1147,10238,7.2,0,66.37
