Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,3494839,25833207,n/a,66.67,0.9736610333122642,735983,1343959,n/a,100,1.13,21.06,651681,n/a,100,7.391816046461654,9.62,1.9,139140,n/a,n/a,38.382844251423315,0.56,,239389,n/a,66291,n/a,19644,1.0,n/a,1069889,n/a,380865,0.0,167120,n/a,30.61,n/a,2481405,617276,1144658,313749,19372,648725,2150880,405126,38.46,282896,18.65,46.13,3.98,26.14,6.85,16.33,10.9,11.4,4.78,17.66,39444,336179,8.98,0,61.54
Baseline for All Items,3306308,25729069,n/a,69.82,0.9939872537888184,735983,1316868,n/a,n/a,1.15,22.26,645394,n/a,n/a,7.781812523213203,9.94,2.0,137776,n/a,100,40.05495687631038,0.59,,222758,n/a,66291,100,19609,1.052760576602584,n/a,1069889,n/a,377613,0.0,166257,n/a,32.36,n/a,2391917,610393,1094292,310940,19256,638803,1989440,398368,39.83,260454,19.52,45.75,4.17,26.71,6.74,16.65,11.42,10.89,5.03,18.46,38093,328763,9.4,0,60.17
USA,848951,7781623,1,67.51,1.3145684369298112,281798,353942,79.87,24.291562501162428,1.91,33.19,111321,66.72,30.122558921933308,9.166162711393238,13.24,3.46,38837,67.47,25.676706465338377,42.20621949134873,0.96,Country/Region,93693,678088,29412,30.2444795029311,8189,1.2400420483652235,566403,229760,n/a,96632,0.0,75663,572806,27.06,n/a,653197,153504,369948,110091,7298,160949,495009,83947,41.69,38353,13.11,56.64,4.57,24.64,11.04,12.85,11.38,5.87,8.91,18.08,16197,112441,12.97,0,58.31
CHINA MAINLAND,613778,7353624,2,83.18,1.1292039317147242,153647,209392,92.9,17.562411315657172,1.63,25.03,142249,84.22,28.46578049717172,11.980918182144032,13.1,2.04,15049,89.45,18.56384825612133,48.639366440634895,1.09,Country/Region,22670,570226,12534,28.580995293689014,6685,1.6208355439092819,516905,234231,n/a,55763,0.0,11430,549029,38.16,n/a,514181,108355,238640,29424,6206,140898,404386,87634,34.12,47009,23.18,46.41,2.45,27.4,3.69,17.04,9.09,9.14,1.86,17.65,10021,80418,4.79,0,65.88
UNITED KINGDOM,260358,2691656,3,70.0,1.4612883648668373,137997,157396,67.54,7.449785240464582,2.22,53.0,39391,50.81,10.4193645024406,10.338288049531798,14.91,3.94,27524,59.44,7.874583977052349,45.276312270412284,1.22,Country/Region,22050,175843,10258,10.461536715533702,3186,1.3986127339411503,132296,36207,n/a,58802,0.0,65535,154754,13.91,n/a,195833,69501,111986,68431,1662,49435,102962,23770,60.45,10642,15.13,57.18,10.57,25.24,8.47,12.14,22.59,5.43,25.17,26.69,5783,38815,26.28,0,39.55
ENGLAND,228754,2404838,4,70.04,1.4881704333038985,121393,137900,65.91,6.545480349738572,2.29,53.07,34539,49.35,9.30909584706227,10.512769175620972,15.18,4.19,24591,57.87,6.918714166980208,45.490237528961245,1.27,Country/Region,19607,150778,9585,9.346774265326118,2905,1.4222173697968674,112891,33544,n/a,53262,0.0,55216,132388,14.66,n/a,172729,61818,99148,59163,1480,43423,90854,20899,60.28,9259,15.1,57.4,10.75,25.14,8.57,12.1,23.28,5.36,24.14,27.02,5240,34723,25.86,0,39.72
GERMANY (FED REP GER),202178,2144269,5,73.96,1.3140126393573979,105146,93795,69.9,5.785044747411827,1.91,52.01,35010,59.46,8.300436720845383,10.605847322656274,13.31,5.32,17818,63.45,6.114917303530101,45.603184739684835,1.16,Country/Region,15427,141317,10747,8.334032607242804,2339,1.4348094238266558,120225,35411,n/a,35249,0.0,13549,128286,17.51,n/a,156804,49428,81471,25540,1582,40638,108383,18668,46.39,16027,17.32,51.96,8.81,25.92,7.63,11.91,17.43,10.22,6.7,24.45,3867,26908,12.63,0,53.61
AUSTRALIA,126646,1539057,6,77.7,1.5155120209086745,69256,55716,67.6,3.6238006958260454,2.47,54.68,20186,58.07,5.957669134923899,12.152432765345925,15.82,2.33,5588,61.91,3.8304356399948216,49.63682137690887,1.51,Country/Region,10243,85618,2949,5.981782706556541,1909,1.6440388517464668,73541,25135,n/a,18293,0.0,11552,78404,19.85,n/a,101124,29309,53355,19699,818,26664,70930,14860,43.99,6245,15.94,52.76,4.41,26.37,8.09,14.69,14.44,6.18,9.12,23.14,3122,20039,15.55,0,56.01
CANADA,134662,1442858,7,74.55,1.4068989492210127,70820,54584,67.33,3.853167484968549,2.15,52.59,20930,57.17,5.585284088034443,10.714663379424039,14.05,3.5,6436,60.9,4.072881292365986,46.2165584181135,1.29,Country/Region,12723,90669,4718,5.607890437077222,1735,1.4495305770701612,76992,23384,n/a,15860,0.0,8463,82005,17.36,n/a,106104,26909,57860,14495,935,27821,80078,14145,40.53,6278,15.54,54.53,4.78,26.22,9.45,13.33,11.78,5.92,6.28,19.98,2895,18914,10.76,0,59.47
ITALY,138032,1419815,8,74.56,1.294380432073722,65750,64019,73.65,3.949595389086593,1.77,47.63,27896,63.29,5.496084942144427,10.286129303349949,13.6,3.09,6986,66.4,4.17480767067073,46.69713106236235,1.0,Country/Region,9856,101654,4269,5.518330259054457,1377,1.391556450904072,87364,34352,n/a,27505,0.0,7435,91653,24.89,n/a,106132,35737,53533,19281,768,30391,74013,15548,46.38,6660,20.21,50.44,5.06,28.64,7.14,14.65,19.93,6.28,5.39,25.89,2450,18770,13.97,0,53.62
FRANCE,129255,1337277,9,74.47,1.3075294271014664,75272,73025,64.03,3.698453634058679,1.89,58.24,21057,55.24,5.176581444185385,10.346036903794824,12.76,5.35,7892,58.91,3.909345408836684,45.21928225445824,1.15,Country/Region,16548,82768,6918,5.197533575738788,1482,1.3996610357677,71402,28534,n/a,34926,0.0,8449,76140,22.08,n/a,101321,35178,53944,27528,934,27240,56230,11643,56.5,8494,16.29,53.24,6.11,26.88,12.8,11.49,27.02,8.38,6.54,27.22,2441,16491,21.3,0,43.5
INDIA,152759,1158688,10,73.55,0.833894450081501,33986,42865,89.49,4.370988191444584,0.88,22.25,24280,80.69,4.4852658053643895,7.585071910656655,8.14,0.97,2916,85.25,4.620228968384071,38.8045218285011,0.48,Country/Region,6559,136706,1477,4.50341984779939,735,1.026144571642514,123257,41188,n/a,9457,0.0,3237,130228,26.96,n/a,97284,18425,31559,9110,369,27160,109894,21125,28.06,17440,15.89,32.44,1.91,27.92,4.29,21.71,6.19,17.93,2.12,12.06,1342,12442,5.96,0,71.94
SPAIN,119990,1128098,11,70.03,1.2033337844820402,56045,61221,72.89,3.433348431787558,1.6,46.71,29340,60.6,4.366852323058457,9.401600133344445,11.72,2.96,5695,66.02,3.6291234815389246,42.83815959413285,0.98,Country/Region,7478,87458,3554,4.384527088795945,1178,1.2718931415839065,72714,25330,n/a,24666,0.0,10695,79222,21.11,n/a,89851,32207,49517,18708,647,22548,58769,11435,51.02,6351,24.45,55.11,4.75,25.09,6.23,12.73,20.56,7.07,8.91,26.84,1917,14065,15.59,0,48.98
JAPAN,138856,1108623,12,73.45,0.9414310386299477,43006,61565,82.12,3.9731730131202037,1.14,30.97,32470,74.94,4.291464857615239,7.983976205565478,8.21,5.39,6920,74.33,4.199729728748804,38.85074160713257,0.74,Country/Region,11147,114028,7481,4.308834493778225,1032,1.0801102402145522,104059,44661,n/a,17353,0.0,4431,103212,32.16,n/a,107746,29799,45669,11028,933,29373,77291,20790,44.34,11914,23.38,42.39,4.98,27.26,8.03,19.3,12.5,11.06,3.19,21.46,1577,11397,7.94,0,55.66
NETHERLANDS,75370,984282,13,77.58,1.640912231657158,46860,47766,63.08,2.156608644918979,2.87,62.17,13429,54.12,3.8101425037936636,13.059333952500996,17.71,5.55,15066,54.58,2.2795819385247835,51.28073557118217,1.75,Country/Region,7004,47547,4180,3.8255639953392797,1319,1.7667287538564078,40792,11615,n/a,13410,0.0,6805,41136,15.41,n/a,62253,32458,36940,12267,709,15893,27604,6850,63.38,2570,17.82,59.34,19.99,25.53,9.29,11.0,17.79,4.13,9.03,43.06,2161,13347,16.28,0,36.62
SOUTH KOREA,94094,937556,14,79.02,1.082667039343635,27921,37016,83.83,2.692370092012822,1.35,29.67,24924,79.39,3.6292667805433525,9.964035964035965,10.52,4.11,3237,79.86,2.8458933650464506,43.90983223797479,0.83,Country/Region,4221,78879,3866,3.643956180458764,779,1.3479821334035487,74702,32173,n/a,12299,0.0,1972,75139,34.19,n/a,78321,22634,36588,4634,818,20205,57078,13622,39.34,7906,26.49,46.72,3.44,25.8,4.49,17.39,13.07,10.09,2.1,24.05,1268,9894,4.92,0,60.66
SWITZERLAND,57930,779460,15,76.28,1.6802784136026239,40168,32856,56.08,1.6575870877027525,2.87,69.34,11364,48.41,3.017279271597986,13.455204557224237,17.74,7.82,5619,49.33,1.7521053694937072,50.026426324874855,1.72,Country/Region,5154,32488,4530,3.029491661746486,995,1.8202840104043216,28043,5151,n/a,12022,0.0,9421,28579,8.89,n/a,47219,19096,27255,10719,505,12581,25074,5214,56.72,2169,19.62,57.72,9.7,26.64,8.9,11.04,20.75,4.59,16.26,32.96,1664,10278,18.5,0,43.28
IRAN,64235,646834,16,83.91,0.9476685934459408,18004,16683,92.07,1.8379959706298343,1.28,28.03,10626,78.75,2.5038857931963308,10.069806180431229,10.43,0.67,938,89.21,1.9428014570935317,44.8665454098233,0.78,Country/Region,2000,59143,432,2.514020231357769,503,1.3622912308879072,50582,19648,n/a,4234,0.0,1160,57307,30.59,n/a,48085,6979,15368,3119,161,13553,47552,12087,25.97,7077,16.54,31.96,1.46,28.19,3.11,25.14,6.59,14.72,1.81,10.86,821,6700,4.86,0,74.03
SWEDEN,50097,644653,17,80.67,1.536242238058167,32606,29890,58.78,1.4334565912764508,2.51,65.09,10202,51.69,2.4954431712640246,12.868095893965707,16.23,6.68,8448,54.5,1.5151945916714353,51.5485584625826,1.57,Country/Region,4254,29446,3348,2.5055434380466703,789,1.7408571605519678,25897,6846,n/a,9614,0.0,4453,27303,13.67,n/a,40748,17807,22351,6986,384,11491,20207,5062,59.66,1844,20.36,54.85,16.86,28.2,8.49,12.42,19.19,4.53,8.89,35.55,1258,8133,13.94,0,40.34
BRAZIL,91460,625743,18,70.72,0.8160803804942052,30842,43259,85.3,2.617001813245188,0.82,33.72,29090,74.47,2.422242813290661,6.841712223923026,7.01,1.4,3332,79.8,2.7662274658017343,36.85975289306801,0.48,Country/Region,4192,78019,1277,2.4320468027817097,435,0.9255793408438575,68108,30461,n/a,12982,0.0,3009,72989,33.31,n/a,65538,23277,24487,6645,241,17398,48201,13368,47.3,10285,31.81,37.36,3.64,26.55,4.58,20.4,14.19,15.69,3.29,25.45,751,6415,7.27,0,52.7
BELGIUM,41245,519264,19,76.35,1.639734549642381,27757,22663,58.41,1.1801688146435358,2.7,67.3,7099,50.53,2.0100640234098694,12.589744211419566,16.55,6.25,3303,50.67,1.247463938628827,49.405017020244884,1.64,Country/Region,3511,24093,2577,2.0181997257654367,676,1.7032004222353556,20841,4544,n/a,7013,0.0,6447,20900,11.02,n/a,33485,13216,18555,8750,353,8690,18582,4221,54.95,2019,17.21,55.41,8.01,25.95,8.51,12.61,17.0,6.03,15.63,32.04,1113,6826,21.21,0,45.05
DENMARK,35138,473703,20,79.38,1.630034344584211,22703,20101,59.08,1.0054254287536564,2.63,64.61,6405,52.89,1.8336979996327982,13.481216916159143,17.2,5.7,2946,52.83,1.062756403819608,51.63516912174854,1.64,Country/Region,3363,20760,2002,1.841119863295481,578,1.8238030859293894,18586,4736,n/a,8342,0.0,3365,18565,13.48,n/a,29120,11492,17040,7387,337,7559,15037,3304,57.21,1217,18.23,58.52,8.38,25.96,9.57,11.35,23.74,4.18,9.58,32.71,923,6043,21.02,0,42.79
HONG KONG,27067,431695,21,82.87,1.8471327557542396,11081,9235,55.81,0.7744848904341516,3.59,40.94,4337,52.0,1.671085591502441,15.949126242287656,20.99,2.73,828,55.78,0.8186472645621642,55.956553688993985,2.02,Country/Region,1322,15107,740,1.6778492840141244,546,2.157673586847748,14074,9417,n/a,3171,0.0,1314,15097,34.79,n/a,21558,4374,13094,2748,512,4977,17832,2437,34.12,1050,16.02,60.74,3.06,23.09,4.88,11.3,11.72,4.87,4.85,16.16,973,5682,10.15,0,65.88
