Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2477884,45972527,n/a,66.96,0.9655810659417472,384999,562853,n/a,100,1.16,15.54,142160,n/a,100,18.553139291427687,9.69,1.96,47352,n/a,n/a,38.81810386660554,0.0,,169433,n/a,48476,n/a,0,1.0,n/a,615589,n/a,187318,0.0,84374,n/a,24.84,n/a,1685645,207407,804302,203908,359379,400954,1915031,255214,22.72,225175,5.74,47.71,1.91,23.79,6.84,15.14,7.56,13.36,3.41,8.37,28794,239986,8.23,0,77.28
Baseline for All Items,2254604,45465205,n/a,71.78,1.0046574841524276,384999,547666,n/a,n/a,1.21,17.08,139787,n/a,n/a,20.16549469441197,10.24,2.15,46440,n/a,100,41.41583308833835,0.0,,160785,n/a,48476,100,0,1.0869047214952596,n/a,615589,n/a,184975,0.0,83535,n/a,27.3,n/a,1583612,204007,755619,200654,356709,385316,1706938,244501,24.29,198176,6.2,47.71,2.06,24.33,7.13,15.44,8.2,12.51,3.71,9.05,27279,230869,8.9,0,75.71
USA,652087,18216534,1,71.16,1.3580928664426681,161532,197919,72.89,26.316284378122624,1.99,24.77,28963,63.52,39.62482636640792,27.935741703177644,14.18,3.38,17498,71.55,28.92246265863096,45.343594555021035,0.0,Country/Region,56289,475299,22041,40.066978692826744,0,1.5057150848905179,414197,160145,n/a,55923,0.0,62463,466578,24.56,n/a,483855,75112,292864,95169,182209,108825,454168,53349,30.35,28817,4.44,60.53,2.68,22.49,8.63,11.03,8.58,5.96,9.58,11.52,12946,92440,14.59,0,69.65
UNITED KINGDOM,189011,5134462,2,71.27,1.4070029643777349,71460,57065,64.17,7.627919628198898,2.01,37.81,9317,50.34,11.1685442046725,27.164884583436944,14.32,3.26,5246,65.58,8.383334723082191,45.884742761532394,0.0,Country/Region,19152,121296,6162,11.293168039163136,0,1.4641664764511435,95148,26092,n/a,20940,0.0,13307,123957,13.8,n/a,132661,21643,76552,23350,32380,32860,131946,15780,30.19,7469,4.93,57.7,2.78,24.77,10.13,11.89,11.08,5.63,7.04,11.45,3796,27070,12.35,0,69.81
CHINA MAINLAND,259470,4838982,3,71.74,0.8574666427718041,45825,39990,89.28,10.471434498144385,1.0,17.66,16199,79.83,10.525812514069543,18.649485489651983,9.06,1.44,3950,86.16,11.508451151510421,40.5594739688596,0.0,Country/Region,11178,231664,3748,10.643264448054286,0,1.0051929863033375,207147,76474,n/a,10687,0.0,2588,223561,29.47,n/a,159610,13531,65259,8663,33674,41907,219480,30302,15.41,22142,6.24,40.89,1.52,26.26,4.31,18.99,4.12,13.87,1.0,5.21,2588,23516,3.34,0,84.59
ENGLAND,163061,4508470,4,71.3,1.4336230606950773,61752,49451,62.58,6.580655107341586,2.08,37.87,8001,49.0,9.806878790891787,27.648977989832026,14.6,3.52,4661,63.7,7.2323565468703155,46.06544486603173,0.0,Country/Region,16618,102045,5746,9.916308526487454,0,1.4902587403419643,79907,23894,n/a,18269,0.0,11450,103866,14.65,n/a,114846,18874,66695,20171,29002,28302,113610,13440,30.33,6409,4.91,58.07,2.86,24.64,10.19,11.7,11.2,5.58,7.02,11.57,3391,23810,12.37,0,69.67
GERMANY (FED REP GER),152900,4271414,5,75.43,1.2565131778940486,65578,43482,67.56,6.170587485128441,1.78,42.89,8780,61.32,9.29123169583434,27.935997383911054,13.47,4.88,4068,63.59,6.781678733826428,46.480946271419235,0.0,Country/Region,13301,103294,7464,9.394907600218673,0,1.505728865886251,93761,26209,n/a,19784,0.0,4746,97231,17.14,n/a,117420,16891,63123,17333,34045,26122,109418,15280,28.44,12895,5.74,53.76,2.66,22.25,8.7,13.01,12.94,10.98,3.1,11.05,2715,20591,11.34,0,71.56
FRANCE,104197,2913446,6,77.42,1.2908744330450972,47935,34533,65.23,4.205079818102865,1.73,46.0,6353,58.73,6.33736318214572,27.96093937445416,13.28,4.69,2889,63.24,4.621521118564502,47.501529376085685,0.0,Country/Region,10019,67972,4886,6.408078441524678,0,1.5070732200761983,61197,25151,n/a,18764,0.0,2952,65893,24.14,n/a,79995,11199,44336,15272,20057,16963,69664,9497,33.14,9199,6.1,55.42,2.77,21.21,9.62,11.87,18.01,11.5,2.83,10.75,1803,13836,14.66,0,66.86
CANADA,97593,2870334,7,76.56,1.388143517465392,39400,26155,66.23,3.938562095723609,2.01,40.37,5567,57.57,6.243585435275289,29.411269250868404,14.04,2.76,2164,66.44,4.328609369982489,47.98980329941696,0.0,Country/Region,8994,64636,2692,6.313254278739093,0,1.5852448897668558,56180,16033,n/a,9030,0.0,3655,64839,16.43,n/a,72052,10532,40684,9430,18492,17478,71438,9379,26.8,4511,5.7,56.46,2.22,24.26,9.22,13.02,9.25,6.26,3.75,10.79,1965,13698,9.66,0,73.2
JAPAN,116293,2462173,8,77.27,0.8736824047879065,27810,33445,79.85,4.693238262969534,0.91,23.91,7337,75.3,5.355748662674123,21.172151376265123,8.42,5.09,2720,74.69,5.158023315846153,41.466065592082074,0.0,Country/Region,14521,92855,5922,5.415510608607176,0,1.1411627457595561,87563,37018,n/a,10303,0.0,1888,86857,31.83,n/a,92110,10135,41279,8867,21361,22926,82848,18638,28.76,9267,6.31,44.81,2.34,24.89,12.49,20.23,8.86,10.06,1.62,8.72,1053,9793,7.62,0,71.24
