Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,3519829,7699114,n/a,50.94,0.9604225670337962,810465,1605363,n/a,100,1.02,23.03,908761,n/a,100,2.187354556144631,8.4,1.81,225847,n/a,n/a,32.68698717596793,0.66,,198362,n/a,63815,n/a,23302,1.0,n/a,1197032,n/a,261249,0.07,112001,n/a,34.01,n/a,2819262,882181,1277882,272393,754,821630,1914466,431980,45.61,287770,25.82,45.33,6.42,29.14,5.64,15.32,7.42,10.21,3.18,25.06,35828,295665,7.74,2309,54.39
Baseline for All Items,3376932,7665218,n/a,52.85,0.9760227835798886,810465,1574828,n/a,n/a,1.04,24.0,900283,n/a,n/a,2.2698763256115315,8.65,1.89,223975,n/a,100,33.8405780084408,0.69,,180704,n/a,63815,100,23256,1.037726745869838,n/a,1197032,n/a,259931,0.07,110672,n/a,35.45,n/a,2732314,872408,1229467,269866,741,809789,1802104,424752,46.63,268306,26.66,45.0,6.63,29.64,5.35,15.55,7.7,9.82,3.28,25.83,35141,292064,7.99,2294,53.37
CHINA MAINLAND,721892,2374566,1,64.76,1.1159181061710064,174154,283140,92.77,20.509291786618043,1.54,24.12,206568,85.15,30.84206832110812,3.2893646140973996,11.52,2.04,18623,91.37,21.37715535876944,41.51262375327612,1.23,Country/Region,22482,669733,14694,30.97845358083749,8850,1.5038095240924911,614666,306107,n/a,35525,0.13,8112,659586,42.4,n/a,666335,160114,324861,35467,205,190173,438752,97934,39.22,53367,28.61,48.75,2.58,28.54,3.11,14.7,4.92,8.01,1.12,22.18,11105,83169,4.91,912,60.78
USA,795272,2009647,2,52.01,1.2457054102244265,286478,356825,77.65,22.594052154238177,1.52,36.02,149411,68.44,26.10231514950941,2.526993280286493,10.67,3.42,48364,70.44,23.55013367162857,35.09045089164462,0.96,Country/Region,63918,617551,27201,26.21774096966322,7651,1.1552737406872438,544289,232349,n/a,79500,0.12,44332,560173,29.22,n/a,668176,194976,359359,95132,251,176761,438447,90732,44.87,41324,18.79,53.78,6.08,26.45,8.04,13.58,10.0,6.18,5.57,24.52,12066,84851,11.96,943,55.13
UNITED KINGDOM,259065,811885,3,55.75,1.4837587049582153,151907,164361,62.67,7.360158689527246,1.97,58.64,55883,52.32,10.545174418770783,3.1339046185320285,12.68,3.77,43896,56.7,7.671608430374079,38.3391202296721,1.33,Country/Region,19513,162351,9760,10.591805738597388,3434,1.432737372059041,135554,37327,n/a,41176,0.19,51565,146886,14.41,n/a,217107,92408,121267,45069,66,59558,94704,25263,63.44,11019,21.57,55.86,16.94,27.43,7.53,11.64,15.89,5.08,19.9,35.67,5092,32853,17.4,490,36.56
ENGLAND,227796,730952,4,56.0,1.523899862157369,133532,144458,61.02,6.471791669424849,2.04,58.62,48964,50.91,9.4939755405622,3.2088008569070574,12.95,4.0,38991,55.12,6.7456496014725795,38.63997275544786,1.38,Country/Region,17367,139008,9113,9.535958403270461,3134,1.466977929066424,115964,34659,n/a,37224,0.2,43783,125550,15.21,n/a,191523,81667,107440,39136,56,52213,83338,22229,63.42,9641,21.49,56.1,17.12,27.26,7.62,11.61,16.34,5.03,19.22,35.85,4650,29501,17.18,445,36.58
GERMANY (FED REP GER),202183,587376,5,58.68,1.2989661346404,112028,122434,67.48,5.744114273733184,1.63,55.41,50185,59.68,7.629137586480731,2.905170068700138,11.46,5.08,38563,64.17,5.987180079433047,38.9855835510404,1.14,Country/Region,10913,136442,10276,7.6628740369810755,2308,1.3281660536189928,120655,37780,n/a,29734,0.16,11249,129737,18.69,n/a,173340,74031,86263,22773,57,49970,79749,19695,60.56,17412,24.82,49.77,19.07,28.83,5.4,11.36,14.71,10.04,5.56,36.62,3291,23177,11.26,333,39.44
ITALY,151077,474009,6,60.79,1.416420598767516,73715,88149,72.31,4.292168738879076,1.79,48.79,45058,65.18,6.156669455732179,3.137532516531305,13.0,2.66,15702,67.58,4.473794556715978,41.16516989614568,1.23,Country/Region,10563,109241,4025,6.183894574166058,1860,1.4343959499924104,98465,41356,n/a,18385,0.13,6011,102103,27.37,n/a,128850,59406,63180,16826,27,41752,62928,15625,58.35,8293,29.82,49.03,10.39,32.4,6.99,12.13,12.17,6.44,3.98,39.32,2703,19640,11.14,201,41.65
INDIA,184403,454455,7,54.44,0.9113119575061144,50301,62057,87.7,5.238976097986579,1.04,27.28,38051,78.7,5.902692179905376,2.4644664132362273,8.64,0.75,4873,85.22,5.460666664297652,33.99602468560707,0.72,Country/Region,8851,161715,1384,5.928794197373121,1333,1.12668812941786,145117,51386,n/a,9344,0.08,3206,157147,27.87,n/a,129317,29328,44443,10282,34,40290,122346,28322,33.65,16262,20.63,34.37,2.64,31.16,4.8,21.9,5.07,12.58,1.74,15.9,1919,15929,5.58,142,66.35
AUSTRALIA,129936,441661,8,61.15,1.4940586588782172,76703,59107,63.07,3.6915429698431375,2.1,59.03,27624,58.69,5.736517214837967,3.399065693880064,13.38,2.21,8751,60.12,3.847752930766743,41.734400180858266,1.46,Country/Region,8601,81948,2877,5.761884397808386,1898,1.5539619236998143,76258,26243,n/a,12579,0.2,8718,78118,20.2,n/a,112655,35487,58932,14131,40,31454,70829,15681,45.49,6588,21.26,52.31,6.73,27.92,6.62,13.92,9.68,5.85,6.71,27.31,2734,17390,10.88,265,54.51
CANADA,136641,403325,9,57.25,1.3742349455873422,76699,62679,64.41,3.882035178413497,1.77,56.13,29427,58.02,5.238589790981144,2.9517128826633297,11.76,3.25,10868,61.16,4.04630593686814,38.38254915581707,1.21,Country/Region,9245,88004,4444,5.261755112509521,1647,1.3494441833270667,79278,24605,n/a,12808,0.18,5658,83569,18.01,n/a,116075,36525,60501,13139,47,33454,73962,15624,45.87,6496,21.54,52.12,7.95,28.82,6.77,13.46,9.37,5.6,4.14,26.73,2420,16070,9.62,244,54.13
FRANCE,126558,389663,10,58.08,1.410833874587146,76117,77396,62.06,3.5955723985454977,1.65,60.14,28800,55.48,5.061140801396109,3.078928238436132,11.48,5.13,10629,59.96,3.747721304426622,38.383159260576186,1.17,Country/Region,12101,78547,6487,5.08352143409359,1475,1.4076036414795796,70213,29069,n/a,31824,0.19,6256,75889,22.97,n/a,108829,40166,57427,25866,38,30507,49162,12843,61.15,8052,22.76,52.77,8.4,28.03,9.56,11.8,25.15,7.4,4.94,31.74,2091,14529,20.44,242,38.85
SPAIN,128948,343342,11,54.88,1.2046163957564289,62449,78386,71.02,3.6634734244191973,1.46,48.43,43268,60.79,4.459500145081629,2.66263920339982,10.42,2.83,13903,67.69,3.8184956048863286,36.324216629959366,1.05,Country/Region,7064,91574,3645,4.479220290929756,1356,1.2172874287435653,78389,29373,n/a,16463,0.14,7040,87284,22.78,n/a,104833,50295,57296,14151,29,30213,50562,10991,60.79,6333,33.55,54.65,10.78,28.82,5.48,10.48,12.77,6.04,5.46,39.0,1878,13441,10.97,186,39.21
JAPAN,138823,296710,12,53.31,0.9066630615964214,45398,71274,80.85,3.94402682630321,0.95,32.7,42821,75.08,3.853820062931917,2.1373259474294604,7.21,5.0,9633,77.22,4.110920800300391,32.79969641846092,0.68,Country/Region,7619,112238,6938,3.870861859375689,942,0.9771282581625224,104232,46372,n/a,13212,0.1,3207,107197,33.4,n/a,117025,40871,44444,11201,26,37690,67549,20940,51.34,13951,30.85,37.98,6.94,32.21,5.49,17.89,9.52,11.92,2.31,29.44,1317,10012,8.07,141,48.66
SOUTH KOREA,99706,287359,13,60.19,1.0944180029286101,32805,49904,80.96,2.8326944291895995,1.26,32.9,37124,78.68,3.732364529217258,2.882063266002046,9.7,4.02,3600,83.67,2.9525616743245053,38.03379385393056,0.96,Country/Region,3121,80722,4007,3.7488692428578023,961,1.3176022414408615,78448,34373,n/a,5740,0.13,1486,83422,34.47,n/a,88680,32778,40543,6059,27,29224,49802,12059,50.05,6854,37.23,45.72,3.61,32.95,3.13,13.6,5.76,7.73,1.49,32.87,1258,9676,6.08,134,49.95
NETHERLANDS,76180,271843,14,62.0,1.6034239459175637,49819,56032,59.95,2.1643096866353453,2.25,65.4,18773,54.17,3.5308348467109334,3.5684300341296926,14.24,5.12,21412,54.49,2.2558938113056466,42.77111409031242,1.57,Country/Region,4779,45667,3898,3.546448385421002,1194,1.6313907702367678,41263,12065,n/a,10818,0.23,5362,41513,15.84,n/a,67477,42598,38939,11068,19,18702,20148,7034,73.55,2802,24.64,57.71,28.11,27.72,6.27,10.42,14.2,4.15,7.04,55.92,1715,10848,14.53,179,26.45
SWITZERLAND,59354,216258,15,61.83,1.6402268406510092,43420,40494,52.89,1.6862751002960654,2.31,73.15,16194,48.01,2.808868656835059,3.643528658557132,14.7,7.32,12298,49.29,1.7576308909981013,42.776879441992115,1.66,Country/Region,3741,31390,4346,2.821289622813076,988,1.6657238527342875,28494,5389,n/a,10109,0.27,8208,29258,9.08,n/a,52428,28616,29135,8261,18,15031,18860,5411,68.22,2851,27.28,55.57,20.72,28.67,6.3,10.32,17.03,5.44,13.83,48.21,1373,8726,13.92,161,31.78
IRAN,69812,212595,16,60.44,1.058551867873718,25017,23822,88.57,1.9833918068178882,1.5,35.83,16478,74.88,2.761291753830376,3.045250100269295,10.77,0.52,1416,86.94,2.067320277695849,38.41118353578182,1.16,Country/Region,2561,61831,365,2.7735023322232975,811,1.392206897466484,52277,19596,n/a,3220,0.12,1123,60697,28.07,n/a,55633,12604,18900,3367,12,17750,45990,12255,34.12,6728,23.6,33.97,2.03,31.91,3.67,22.03,4.61,12.09,1.61,18.05,1045,7519,4.82,82,65.88
BRAZIL,96326,194224,17,48.92,0.8385862342462057,35627,45497,83.56,2.7366670369498065,0.88,36.99,31574,74.5,2.522679882386467,2.016319581421423,6.73,1.55,3342,80.15,2.85247082262835,30.06061762348691,0.64,Country/Region,4041,80489,1496,2.533835306445296,616,0.9218073840645803,71761,32899,n/a,7386,0.09,2375,77206,34.15,n/a,75029,20131,28690,6540,16,22146,50829,14849,47.23,9344,32.78,38.24,3.47,29.52,4.2,19.79,7.67,12.45,2.47,20.9,849,6482,6.79,86,52.77
SAUDI ARABIA,48878,187953,18,65.47,1.3823694709276158,36711,27364,52.56,1.3886470052948594,2.47,75.11,21209,47.42,2.4412289517988692,3.845349646057531,15.69,0.77,1641,53.93,1.4474084760960542,44.4698519211097,1.73,Country/Region,1829,25691,375,2.4520241955284248,846,1.7579910103075542,23180,3692,n/a,2254,0.16,1125,26358,7.55,n/a,39846,15493,15024,2685,13,15541,21514,6025,55.98,3256,43.39,37.71,3.36,39.0,3.74,15.12,4.61,8.17,2.3,31.7,1205,7668,5.49,80,44.02
SWEDEN,50632,176218,19,62.97,1.4810453902670249,34793,36872,54.87,1.4384789715636752,2.12,68.72,13898,50.86,2.288808816183265,3.480368146626639,13.37,6.46,14867,54.32,1.4993491133371948,42.69756207339233,1.42,Country/Region,2511,27783,3271,2.2989300499998824,720,1.5911312305770116,25749,6813,n/a,7356,0.22,3303,27504,13.46,n/a,44368,25455,24368,5596,13,12968,13760,4928,72.82,2104,27.45,54.92,29.36,29.23,4.96,11.11,14.53,4.74,6.52,50.27,1073,6768,11.05,111,27.18
